Id,Title,Price,Distance,Time,EstimationMusic,Popularity,Category
578265,Sugar Daddy,0,382.20511604180996,1023,1000,607,Arts/entertainment/nightlife
579219,1 EURO PARTY,0,224.7794048698599,343,1000,85,Bar
578526,Blue Heat,0,253.63034622441745,1142,1000,146,none
578767,After Hexennacht Party,0,223.22082595583672,1119,1000,9,none
578866,Die Grosse Görlitzer Ü30 Oster Party,0,87.61834988228034,1170,1000,248,Arts/entertainment/nightlife
578920,"Kultur-Box mit Yourwingsfly, Jetpack Elephant und Chavelynn",0,256.8059105092593,343,1000,70,Local business
579017,Tuning Emotion @ Night,0,113.75059697265765,554,626,13,Arts/entertainment/nightlife
579086,Ladies Night,0,467.42351729614273,1238,0,9,Club
578473,RPWL - Tour zum neuen Album „Wanted“ 2014,0,475.15824942075426,1162,1000,645,Event planning/event services
578824,Nha-Vy  support: Mono Brothers,5,499.46590476095344,1078,1000,7,none
578588,Cocktail Party,0,474.0275301940195,1042,992,32,none
578868,Fr. 27.2. Dominican Independence Day,0,376.11809848829256,1484,1000,4,Arts/entertainment/nightlife
578474,Außer Kontrolle: Carmen,0,437.81854151085423,1183,0,392,Arts/entertainment/nightlife
578972,STERN-COMBO MEISSEN,0,55.86281528634831,1149,1000,112,none
579121,liebemachen. im Sternenstaub,0,477.8106575538397,623,1000,113,none
578118,?? BUBBLE BUTT FSK 16 @ KLUB KOBRA MOERS ?? ¦KNOCKOUT & FRIENDS  ¦FR. 16.05.14,0,496.8979500703885,1197,1000,12,Company
578021,TREIBsinn,0,536.2173479597038,1394,0,0,Arts/entertainment/nightlife
578064,08.12. ?Birthday Bash?  (P18),0,268.7720419479296,673,0,21,none
577770,Death Magic Doom Party - Helvete Metal Club,0,481.6950900007407,825,1000,140,none
577371,GentleM Karaoke Party by ROXIE NEW!!,0,470.2473418767639,610,1000,115,none
577317,BLACK AGAIN,0,387.63995415170604,1155,0,0,Club
577716,"lotta sleeps @ KaffeeSatz, Chemnitz",0,61.15814632542873,1147,1000,94,none
578024,1. Einheits-Fete mit DJ mKay,0,308.5587546932502,606,0,75,none
578066,Mean Stream Band – Rock,0,382.20511604180996,952,1000,607,Arts/entertainment/nightlife
577523,Sommerfieber - die Medizinerparty zum WM-Halbfinale,0,360.2471372438384,1250,0,37,none
577918,THOMAS BLUG plays HENDRIX part II,0,498.8970134837929,442,968,54,Concert venue
578026,Filmeabend (kostenlos) FSK12,0,-1,629,0,61,none
577671,"Die wunderbarste Lesebühne des Universums - Folge 298 mit Carmen Wegge, Singermaschin, Franz Maria Sonner & Christian Lex!",0,356.78011744599706,1080,314,266,none
577619,Lesezeit: Ein Adler bleibt immer ein Adler,0,361.70444087052766,944,0,16,none
578027,Mission 2014 - Silvester Party,0,467.34122942459317,1061,1000,126,Bar
577825,Fr. 05.09. // Hotel Shanghai Essen // King Kong Kicks,0,469.8842662085111,1309,1000,48,none
578122,Sommer-Live-Café: Französische Chansons,0,499.53520086523883,1255,1000,0,Government organization
567405,RATIONAL Expertenküche Veranstaltungen/Partyservice und A la carte,0,447.3148428471727,1594,0,3,Food/Beverages
567807,Neue Bühne Nürnberg: Perfect Happiness,0,261.4156823935278,705,0,235,Local Business
567407,Liedermacherabend von und mit Christoph Biermann,0,485.24949997315986,1492,992,131,none
567355,NACHT der offenen Tür,0,300.13506854016686,361,225,8,Sports/recreation/activities
567758,Countryfest,0,268.9119445537353,1156,1000,117,none
568007,Partymeile,0,232.2000621705252,1016,0,3,Community
568159,"LACHEN, TRINKEN, ESSEN – unsere  original fränkischen Delikatessen!",0,-1,1302,0,9,none
567308,Weihnachtskonzert,"3,50",468.8567852006477,678,819,69,School
567908,Young Generation in der Rheinpfalz,0,357.7527125359661,1433,0,10,none
568010,JUZ goes ROCK a ROLLA,0,303.39634376131966,1197,0,1,none
567709,"CONTRAST - Film, Malerei, Grafik von Carmen Büchner",0,168.88810004464955,1289,0,4,Museum/Art Gallery
567710,DAS VOLKSWAGEN FEST,0,363.030201848151,1217,0,6,none
567510,Christmas-Party im Starbowling Nordhausen,0,210.0338205976472,1418,982,10,none
567711,donnerstags in Remscheid LIVE,0,457.60696818711426,1609,944,0,Website
568013,DFB-Pokalfinale + Grillen,0,49.323045143306864,1198,0,8,none
567410,Monty Alexander & his Harlem Kingston Express,0,358.5359291641996,1472,1000,1036,Company
567512,Making of AMIZARAS auf der FeenCon 2014,0,463.72073428892514,1262,0,495,Book
567960,Schneefuß,0,103.11396000684559,1389,0,441,Local business
567561,Stefan Knittler + Band live im Piranha,0,476.17158937526654,1518,1000,110,Musician/Band
567268,Andy Martin,0,485.7606933487637,1512,0,79,Club
567460,Einladung zur Offenen Bühne im topos Leverkusen,0,472.82878370458224,1489,23,0,Artist
567813,good night - white pride Konzert (Hardcore),0,375.1047890514081,1002,0,1,Arts/Entertainment/Nightlife
567620,Land Rover live Segeln,0,355.4967434858017,799,0,4,Cars
567714,Jugend Tanzparty: Neon Party,0,369.39002756958496,1548,0,0,none
567271,Eröffnung des REGENSBURG POPKULTUR FESTIVALS,0,254.5917589770296,1358,0,375,Community
567316,The Cubes - men at work,0,255.17657541480423,1359,0,2,Event Planning/Event Services
567416,13. dortmunder DEW21-museumsnacht - Vorhang auf!,0,438.3831288336047,967,0,8,none
567717,Sugarpops,0,496.97908183947425,963,1000,168,Restaurant/cafe
567463,Silvester Party 2013 im Bienenkorb Passau,0,277.8571532682264,1061,1000,0,Local business
567517,Frühlingsfest,0,131.96863405594627,451,0,13,Bar
567665,ST. MARTINUS oder ICH GEHE MIT MEINER LATERNE,0,485.8036742052738,1374,0,62,Public figure
568059,Salsa Cubana Workshop - für Einsteiger,0,476.1505097010456,1227,0,23,Education
567914,Sebastian Reich & Amanda Amanda packt aus,0,254.32487567834605,1479,0,6,none
567568,Autorenwerkstatt - Kreatives Schreiben,0,485.79625140072216,1493,0,21,none
