Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,36,1,3,12,11090,0,0,529693,581232
2,36,1,3,4,1520,0,0,579966,540939
3,36,1,3,25,8555,0.07987086683350349,0,580880,193060
4,36,1,3,10,2440,0,0,192041,192041
5,36,1,3,5,2648,1.1797341958555467,0,583459,201105
6,36,1,3,14,2740,0,0,200700,200700
7,36,1,3,11,1553,1.5199999999999996,0,545553,794927
8,36,1,3,18,4686,-0.6197854588796181,0,817923,707981
9,36,1,3,22,3812,1.470260340109132,0,570492,190753
10,36,1,3,24,18112,0.616786299144918,0,200223,197864
11,36,1,3,8,3511,-2.7294398092967818,0,800700,191695
12,36,1,3,17,1944,-0.3,0,772665,752401
13,36,1,3,7,1631,-1.1600000000000001,0,201105,791698
14,36,1,3,2,2601,0,0,569795,581232
15,36,1,3,21,5807,0.07252407544333046,0,785752,200601
16,36,1,3,6,3822,-1.25,0,567525,189562
17,36,1,3,23,5584,0.18098161558880008,0,786416,799410
18,36,1,3,13,6418,0.15494636471990475,0,767136,798860
19,36,1,3,9,2014,0,0,202011,786978
20,36,1,3,20,1954,-1.664729176963112,0,817632,786065
21,36,1,3,19,1395,0,0,845632,800711
22,36,1,3,1,3213,0.7750000000000004,0,817923,539336
23,36,1,3,16,8648,-1.75,0,784093,847668
24,36,1,3,15,2441,0.6384746562517467,0,786978,785434
25,36,1,3,3,1898,0.8939213349225259,0,799796,800178
26,36,2,2,12,1679,0,0,581232,581232
27,36,2,2,16,4790,0,0,784093,784093
28,36,2,2,18,2301,-0.47675804529201393,0,817923,774978
29,36,2,2,6,1869,0,0,579673,199702
30,36,2,2,25,3615,0.6134766405244427,0,580880,798526
31,36,2,2,13,1373,0.8641239570917758,0,767136,580500
32,36,2,2,2,1993,0,0,540354,569795
33,36,2,2,7,1322,-0.4,0,772665,785031
34,36,2,2,5,1208,1.061686981029771,0,583459,572508
35,36,2,2,21,3503,1.120620765049966,0,785752,783915
36,36,2,2,1,3398,1.5,0,817923,192622
37,36,2,2,9,1265,0,0,845632,819475
38,36,2,2,17,2530,-0.12,0,199702,850991
39,36,2,2,24,22988,0.9930498348216314,0,200223,202011
40,36,2,2,22,3159,1.311447702141019,0,570492,812544
41,36,2,2,23,8688,0.08104886769964245,0,786416,767759
42,36,2,2,8,2717,-1.8414779499404053,0,800700,203609
43,36,2,2,11,4596,0,0,545553,545553
44,36,2,2,10,7430,-2.095049687660379,0,817632,786941
45,36,2,2,14,3513,0.6500000000000004,0,564237,852890
46,36,2,2,15,5494,0,0,786978,786978
47,36,2,2,3,3615,0.7389749702026212,0,799796,581169
48,36,2,2,4,998,0.6099999999999994,0,540939,798526
49,36,2,2,20,5410,-4.3940626681462795,0,817632,846493
50,36,2,2,19,5708,0,0,707834,791286
51,36,3,1,21,8416,-1.0590007936284032,0,785752,197864
52,36,3,1,12,10176,0,0,203089,752353
53,36,3,1,22,16134,0,0,570492,570492
54,36,3,1,19,9624,0,0,800711,800711
55,36,3,1,7,3199,-0.26,0,200700,580690
56,36,3,1,6,2448,0,0,705465,578681
57,36,3,1,8,7087,-2.1513706793802143,0,800700,774978
58,36,3,1,16,7011,0,0,784093,784093
59,36,3,1,17,5783,-0.24,0,772665,799796
60,36,3,1,2,3462,0,0,539748,203089
61,36,3,1,15,10368,0.6240566414349864,0,768236,775517
62,36,3,1,23,10295,-1.0925295684413832,0,786416,768236
63,36,3,1,11,8380,1.5199999999999996,0,545553,794927
64,36,3,1,4,4292,0.07000000000000028,0,800178,706980
65,36,3,1,20,5453,-0.9750524101006728,0,817632,535287
66,36,3,1,14,4396,0.3200000000000003,0,564237,852853
67,36,3,1,3,2439,1.2097735399284861,0,799796,200376
68,36,3,1,25,17934,0.08044194220483902,0,580880,799783
69,36,3,1,18,7902,-0.5661501787842669,0,817923,203146
70,36,3,1,5,5455,0.4973597364091873,0,583459,577674
71,36,3,1,1,5242,0.5,0,817923,581232
72,36,3,1,9,1820,0,0,201125,192622
73,36,3,1,24,31700,0,0,200223,200223
74,36,3,1,13,9454,0.6436233611442184,0,767136,800178
75,36,3,1,10,2915,-1.6301691237900704,0,192041,767503
