Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,17,1,3,7,4238,-1.8599999999999999,0,199702,580880
2,17,1,3,4,4038,0,0,799664,784702
3,17,1,3,21,3718,0,0,785752,785752
4,17,1,3,11,6689,1.5199999999999996,0,545553,790129
5,17,1,3,17,9160,-0.12,0,797697,800784
6,17,1,3,18,16776,-7.383790226460071,0,817923,539336
7,17,1,3,3,10375,0.7032181168057203,0,799796,798112
8,17,1,3,13,6150,0.4529201430274128,0,767136,798112
9,17,1,3,1,6187,1.5,0,817923,192622
10,17,1,3,10,6023,0,0,784608,817632
11,17,1,3,24,20015,-0.3834922526817639,0,200223,192622
12,17,1,3,16,7801,0,0,784093,545553
13,17,1,3,22,10559,0,0,570492,570492
14,17,1,3,9,2305,0,0,192622,786416
15,17,1,3,19,7511,-1.29,0,800711,583459
16,17,1,3,25,4762,0.5811386757174466,0,580880,572201
17,17,1,3,2,2875,0,0,798505,539685
18,17,1,3,12,4165,0,0,752353,581232
19,17,1,3,20,7074,-1.664729176963112,0,817632,705793
20,17,1,3,8,12808,0,0,800700,800700
21,17,1,3,5,2778,0.9839131236700176,0,583459,529693
22,17,1,3,14,4869,0.6500000000000004,0,201105,852890
23,17,1,3,6,2641,-0.25,0,767759,189875
24,17,1,3,15,8185,0.6384746562517467,0,768236,785434
25,17,1,3,23,7322,0.18098161558880008,0,786416,799410
26,17,2,1,21,23185,0.5753844301303757,0,785752,794281
27,17,2,1,14,5295,0.019999999999999574,0,564237,199958
28,17,2,1,24,17919,0,0,200223,200223
29,17,2,1,1,22565,1.5,0,817923,192622
30,17,2,1,10,3735,0,0,773538,579673
31,17,2,1,9,2735,0,0,201125,192705
32,17,2,1,11,14534,1.5199999999999996,0,545553,794927
33,17,2,1,5,3471,0.3368335206296056,0,583459,203857
34,17,2,1,7,4135,0,0,797697,579048
35,17,2,1,23,28182,-0.7818696435503096,0,786416,705465
36,17,2,1,17,15261,-0.3,0,199702,752401
37,17,2,1,18,29079,0,0,817923,817923
38,17,2,1,2,5309,0,0,581232,539748
39,17,2,1,25,26734,0.4802104617931871,0,580880,786070
40,17,2,1,16,11607,0,0,784093,545553
41,17,2,1,19,4352,0,0,791286,707834
42,17,2,1,20,16013,0,0,817632,817632
43,17,2,1,22,18592,0,0,570492,570492
44,17,2,1,15,4357,0,0,786978,768236
45,17,2,1,8,9368,-3.7187127532777113,0,800700,852890
46,17,2,1,6,3833,0,0,579103,774978
47,17,2,1,13,6438,5.196662693682955,0,767136,817865
48,17,2,1,12,7078,0,0,752353,567741
49,17,2,1,3,6095,7.330154946364719,0,799796,583459
50,17,2,1,4,2944,0,0,766763,197321
51,17,3,2,2,5302,0,0,572024,539685
52,17,3,2,18,6606,-0.5184743742550655,0,817923,203857
53,17,3,2,13,2860,0.39928486293206156,0,767136,539336
54,17,3,2,17,5040,-0.3,0,703752,786941
55,17,3,2,16,3477,0,0,545553,784093
56,17,3,2,10,3102,-1.5931445239084026,0,792429,707834
57,17,3,2,5,4307,1.4949741725386048,0,583459,569795
58,17,3,2,3,2679,0.768772348033373,0,799796,578651
59,17,3,2,22,10896,0.22183704020973066,0,570492,579988
60,17,3,2,9,2829,0,0,817632,536366
61,17,3,2,23,2226,-0.10990189012725864,0,786416,793889
62,17,3,2,7,2213,-0.08,0,201105,707981
63,17,3,2,15,3891,0,0,786978,768236
64,17,3,2,12,18168,0,0,752353,529693
65,17,3,2,20,5904,-1.664729176963112,0,817632,786065
66,17,3,2,1,11157,0.5,0,817923,581232
67,17,3,2,19,5220,-1.29,0,845632,583459
68,17,3,2,14,3075,0,0,571634,200700
69,17,3,2,6,2227,0,0,706858,202131
70,17,3,2,11,3113,0,0,545553,545553
71,17,3,2,8,7038,-1.6567342073897497,0,800700,817632
72,17,3,2,25,4468,0.3592032210455617,0,580880,199958
73,17,3,2,21,6442,0.07252407544333046,0,785752,200601
74,17,3,2,24,4330,0.6582240762812873,0,200223,200551
75,17,3,2,4,2306,0,0,776783,800700
