Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,31,1,1,25,44195,0.21711363179488571,0,580880,705294
2,31,1,1,23,75590,-1.3055257818412744,0,786416,793584
3,31,1,1,2,7336,0,0,567741,567741
4,31,1,1,8,16639,0,0,800700,800700
5,31,1,1,15,7256,0,0,786978,786978
6,31,1,1,11,9786,0,0,545553,545553
7,31,1,1,18,32640,0,0,817923,817923
8,31,1,1,19,4569,0,0,800711,800711
9,31,1,1,12,15521,0,0,529693,529693
10,31,1,1,21,82181,-0.9064065244937505,0,785752,584208
11,31,1,1,9,2897,0,0,785434,200223
12,31,1,1,14,4149,0,0,200700,200700
13,31,1,1,7,12376,0,0,201105,544470
14,31,1,1,13,37535,7.312276519666269,0,767136,767853
15,31,1,1,6,1976,0,0,784093,800602
16,31,1,1,22,39975,0,0,570492,570492
17,31,1,1,20,10094,0,0,817632,817632
18,31,1,1,5,13592,0.4719060815934384,0,583459,786978
19,31,1,1,4,3273,0,0,786020,799664
20,31,1,1,16,11608,0,0,545553,784093
21,31,1,1,3,24256,8.051251489868891,0,799796,817632
22,31,1,1,1,10345,6,0,817923,197899
23,31,1,1,17,13848,0,0,579048,797697
24,31,1,1,24,53136,0,0,200223,200223
25,31,1,1,10,4872,0,0,799664,767136
26,31,2,3,10,3832,-0.8999262717318401,0,767136,568076
27,31,2,3,1,4511,0.5,0,817923,581232
28,31,2,3,25,8486,0.0972017143958304,0,580880,581169
29,31,2,3,22,9174,0.9880121890125494,0,570492,775249
30,31,2,3,19,10921,0,0,707834,845632
31,31,2,3,5,6216,9.684665052122584,0,583459,752401
32,31,2,3,3,5479,8.051251489868891,0,799796,817632
33,31,2,3,23,24799,0.21635313840379133,0,786416,538990
34,31,2,3,16,17896,-1.75,0,784093,847668
35,31,2,3,20,18321,-2.5790863775559325,1,817632,545553
36,31,2,3,12,10029,0,0,203089,567741
37,31,2,3,18,29960,-0.7032181168057212,1,817923,583459
38,31,2,3,13,14896,0.4529201430274128,0,767136,798112
39,31,2,3,21,5786,0.4209140047565004,0,785752,785434
40,31,2,3,17,9394,-0.8,0,797697,705294
41,31,2,3,6,3362,0,0,786020,567525
42,31,2,3,4,2666,0,0,817923,773145
43,31,2,3,9,2329,0,0,544863,817632
44,31,2,3,8,13879,0,0,800700,800700
45,31,2,3,11,10641,0,0,545553,545553
46,31,2,3,14,9435,0.019999999999999574,0,571634,199958
47,31,2,3,7,2616,-0.96,0,797697,195554
48,31,2,3,24,18482,0,0,200223,200223
49,31,2,3,15,12099,0.8065533895543915,0,768236,539999
50,31,2,3,2,4315,0,0,569795,581232
51,31,3,2,10,11116,-0.07166281703490723,0,767136,752401
52,31,3,2,12,10483,0,0,581232,529693
53,31,3,2,3,5879,0.7330154946364722,0,799796,579988
54,31,3,2,2,5853,0,0,572024,569795
55,31,3,2,11,4799,0,0,545553,545553
56,31,3,2,9,4361,0,0,200551,202856
57,31,3,2,18,16793,-0.5661501787842669,0,817923,572024
58,31,3,2,19,5729,0,0,800711,800711
59,31,3,2,7,4645,0,0,772665,199958
60,31,3,2,15,9878,0.6240566414349864,0,786978,775517
61,31,3,2,20,19436,-1.605974129729772,0,817632,789990
62,31,3,2,21,46394,0.68614077656032,0,785752,195554
63,31,3,2,16,12256,-1.75,0,784093,847668
64,31,3,2,14,5137,0.019999999999999574,0,200700,199958
65,31,3,2,23,13065,-0.9873171589807482,0,786416,544863
66,31,3,2,1,14298,0,0,817923,817923
67,31,3,2,6,2579,0,0,850557,798860
68,31,3,2,8,25906,-2.1454112038140645,0,800700,767853
69,31,3,2,4,8251,0,0,767136,189763
70,31,3,2,5,4246,0.9839131236700176,0,583459,529693
71,31,3,2,22,3239,0.22183704020973066,0,570492,579988
72,31,3,2,24,24141,-0.3834922526817639,0,200223,192622
73,31,3,2,25,10082,0.12687677854663057,0,580880,578681
74,31,3,2,13,6799,0.6495828367103691,0,767136,567550
75,31,3,2,17,6528,0,0,579048,579048
