Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,7,1,1,23,180500,0,0,786416,786416
2,7,1,1,10,6910,0,0,767136,767136
3,7,1,1,1,24079,0.5,0,817923,581232
4,7,1,1,24,77561,-0.3834922526817639,0,200223,192622
5,7,1,1,3,57014,0,0,799796,799796
6,7,1,1,14,2715,0,0,201105,571634
7,7,1,1,16,6583,0,0,545553,545553
8,7,1,1,13,24063,0,0,767136,767136
9,7,1,1,11,5332,0,0,545553,545553
10,7,1,1,9,4359,0,0,767759,767759
11,7,1,1,18,18959,0,0,817923,817923
12,7,1,1,7,2245,0,0,539336,539336
13,7,1,1,19,7624,-10,0,800711,201105
14,7,1,1,4,2959,0,0,798860,570924
15,7,1,1,20,11141,0,0,817632,817632
16,7,1,1,2,2831,0,0,773145,773145
17,7,1,1,15,15934,0,0,786978,768236
18,7,1,1,21,32653,0,0,785752,785752
19,7,1,1,17,5696,0,0,703752,797697
20,7,1,1,12,2528,0,0,567741,529693
21,7,1,1,22,35421,0.8820023837902266,0,570492,570924
22,7,1,1,25,7831,0,0,580880,580880
23,7,1,1,8,31078,-1.6567342073897497,0,800700,817632
24,7,1,1,5,33111,0,0,583459,583459
25,7,1,1,6,2111,0,0,785377,785377
26,7,2,3,5,19494,0.4973597364091873,0,583459,577674
27,7,2,3,23,10340,-1.0925295684413832,0,786416,768236
28,7,2,3,8,17029,-2.1156138259833135,0,800700,707834
29,7,2,3,14,6268,0.6500000000000004,0,564237,852890
30,7,2,3,17,10615,-0.06,0,799783,193144
31,7,2,3,19,7254,0,0,800711,800711
32,7,2,3,22,5197,0.35817508424354577,0,570492,202738
33,7,2,3,21,12983,-0.7336134277166035,0,785752,202629
34,7,2,3,7,5111,-0.96,0,199702,189875
35,7,2,3,25,25357,0.21711363179488571,0,580880,705294
36,7,2,3,15,13381,0.8065533895543915,0,768236,539999
37,7,2,3,6,5128,0,0,569795,579673
38,7,2,3,9,2695,0,0,200504,200504
39,7,2,3,11,9100,0,0,545553,545553
40,7,2,3,10,12245,-0.07166281703490723,0,192041,752401
41,7,2,3,1,6998,0.5,0,817923,581232
42,7,2,3,18,19039,-0.4588796185935635,0,817923,579585
43,7,2,3,3,12932,0.25029797377830754,0,799796,767136
44,7,2,3,24,21429,-0.3834922526817639,0,200223,192622
45,7,2,3,2,2958,0,0,539748,539748
46,7,2,3,16,5367,0,0,545553,545553
47,7,2,3,12,8766,0,0,529693,529693
48,7,2,3,4,2988,0,0,812544,581232
49,7,2,3,20,17159,-9.284421787564053,0,817632,786978
50,7,2,3,13,13924,0.6078665077473175,0,767136,812161
51,7,3,2,1,16256,0.7750000000000004,0,817923,539336
52,7,3,2,20,7498,-9.284421787564053,0,817632,786978
53,7,3,2,2,2482,0,0,752353,752353
54,7,3,2,7,10335,-0.96,0,544470,189875
55,7,3,2,25,8589,-0.019918768116362173,0,580880,567550
56,7,3,2,17,6454,-0.3,0,772665,752401
57,7,3,2,22,70622,0,0,570492,570492
58,7,3,2,13,3521,0,0,767136,767136
59,7,3,2,5,22357,0.7365764612543817,0,583459,784702
60,7,3,2,11,6699,0,1,545553,564237
61,7,3,2,15,8765,0,0,768236,768236
62,7,3,2,21,3646,0.028605482717521013,0,785752,706338
63,7,3,2,3,29885,0.6197854588796172,0,799796,535847
64,7,3,2,23,8935,0.08104886769964245,0,786416,767759
65,7,3,2,10,6703,-0.07166281703490723,0,799664,752401
66,7,3,2,4,3391,0.07000000000000028,0,188056,706980
67,7,3,2,8,5362,0,0,800700,800700
68,7,3,2,12,8499,0,0,203089,529693
69,7,3,2,18,22881,-0.5661501787842669,0,817923,572024
70,7,3,2,19,7270,0,0,800711,845632
71,7,3,2,16,6027,0,0,545553,545553
72,7,3,2,6,2397,0,0,776783,538990
73,7,3,2,14,4379,0,0,571634,571634
74,7,3,2,9,2165,0,0,202856,791286
75,7,3,2,24,3201,0,0,200223,200223
