Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,39,1,2,24,36314,0.6582240762812873,0,200223,200551
2,39,1,2,11,5347,0,0,545553,545553
3,39,1,2,3,8174,0.7389749702026212,0,799796,581169
4,39,1,2,13,12910,0.39928486293206156,0,767136,539336
5,39,1,2,10,11850,-0.07166281703490723,0,192041,752401
6,39,1,2,17,7213,-0.24,1,703752,706338
7,39,1,2,7,8081,-0.12,0,544470,798900
8,39,1,2,14,8937,0,0,201105,200700
9,39,1,2,4,5653,0,0,580880,580880
10,39,1,2,21,16698,0.7177602167782144,0,785752,800784
11,39,1,2,15,8588,0,0,786978,786978
12,39,1,2,1,8993,0.7750000000000004,0,817923,539336
13,39,1,2,5,10832,0.4973597364091873,0,583459,584208
14,39,1,2,22,22956,0.22183704020973066,0,570492,579988
15,39,1,2,2,3620,0,0,539748,539748
16,39,1,2,8,19663,-1.6567342073897497,0,800700,817632
17,39,1,2,16,15023,0,0,784093,784093
18,39,1,2,23,10578,0.19739463704809487,0,786416,819475
19,39,1,2,18,27832,-1.2038140643623358,0,817923,579673
20,39,1,2,19,4039,0,1,845632,544863
21,39,1,2,25,14968,0.0972017143958304,0,580880,581169
22,39,1,2,20,6717,-0.9750524101006728,0,817632,535287
23,39,1,2,6,3430,0,0,546207,572024
24,39,1,2,12,8884,0,0,567741,581232
25,39,1,2,9,9414,0,0,845632,786941
26,39,2,1,17,6329,-0.1,0,579048,536366
27,39,2,1,3,12466,0.35756853396901,0,799796,189875
28,39,2,1,19,4478,0,0,707834,707834
29,39,2,1,13,9532,0.16686531585220443,0,767136,799420
30,39,2,1,12,22360,3.120000000000001,0,581232,200504
31,39,2,1,2,5571,0,0,773145,192873
32,39,2,1,23,56843,0.21635313840379133,0,786416,538990
33,39,2,1,10,9693,-0.680329474195341,0,817632,852853
34,39,2,1,8,18382,0,0,800700,800700
35,39,2,1,22,28393,0.8820023837902266,0,570492,570924
36,39,2,1,25,9189,0.8518452224919404,0,580880,190597
37,39,2,1,21,53755,0,0,785752,785752
38,39,2,1,1,9711,0,0,817923,817923
39,39,2,1,4,3071,0,0,201105,201105
40,39,2,1,14,4391,0,0,201105,571634
41,39,2,1,5,11511,0.2723453089514152,0,583459,847668
42,39,2,1,18,38525,0,0,817923,817923
43,39,2,1,11,7616,0,0,545553,545553
44,39,2,1,6,5836,0,0,538990,786416
45,39,2,1,9,3484,0,0,752401,752401
46,39,2,1,24,35403,-0.3834922526817639,0,200223,192622
47,39,2,1,20,15874,-0.9750524101006728,0,817632,535287
48,39,2,1,15,24578,0.8065533895543915,0,786978,539999
49,39,2,1,7,15996,-0.12,0,817632,564237
50,39,2,1,16,6329,0,0,545553,784093
51,39,3,3,11,4484,1.5199999999999996,0,545553,790129
52,39,3,3,21,4023,0.4209140047565004,0,785752,785434
53,39,3,3,13,3554,0.16686531585220443,0,767136,799420
54,39,3,3,14,3487,0.6500000000000004,0,201105,852890
55,39,3,3,4,2513,0,0,580690,578681
56,39,3,3,16,21952,-1.75,0,545553,847668
57,39,3,3,7,4441,-0.3,0,199958,189872
58,39,3,3,19,3043,0,0,800711,800711
59,39,3,3,18,8399,-6.114421930870083,0,817923,784608
60,39,3,3,15,3091,0,0,786978,768236
61,39,3,3,23,2867,0,0,786416,786416
62,39,3,3,25,11676,0.12687677854663057,0,580880,578681
63,39,3,3,22,20549,0,0,570492,570492
64,39,3,3,8,7286,-1.6567342073897497,0,800700,817632
65,39,3,3,3,3604,1.0488676996424307,0,799796,790129
66,39,3,3,20,9898,-1.664729176963112,0,817632,786065
67,39,3,3,2,7602,0,0,568122,529693
68,39,3,3,10,11743,-0.07166281703490723,0,817632,752401
69,39,3,3,6,3665,0,0,578681,578681
70,39,3,3,1,7864,0.5,0,817923,581232
71,39,3,3,5,5606,0.7365764612543817,0,583459,784702
72,39,3,3,17,8280,-0.8200000000000001,0,799783,799410
73,39,3,3,24,20497,0,0,200223,200223
74,39,3,3,9,3039,0,0,752353,783915
75,39,3,3,12,3485,0,0,581232,581232
