Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,21,1,2,1,11510,0,0,817923,817923
2,21,1,2,4,2960,0,0,189763,200169
3,21,1,2,13,2937,0.6078665077473175,0,767136,812161
4,21,1,2,17,7566,-0.8,0,199702,705294
5,21,1,2,19,3663,0,0,800711,791286
6,21,1,2,9,2695,0,0,789538,799410
7,21,1,2,18,4833,-0.5661501787842669,0,817923,203146
8,21,1,2,12,3945,0,0,567741,567741
9,21,1,2,16,5626,0,0,784093,784093
10,21,1,2,10,11050,-3.3895920367680015,0,817632,196665
11,21,1,2,3,6353,0.8164481525625735,0,799796,776783
12,21,1,2,22,6831,1.0580904907978639,0,570492,201105
13,21,1,2,2,2411,0,0,798505,192873
14,21,1,2,20,4282,-1.664729176963112,0,817632,786065
15,21,1,2,25,7103,0.8518452224919404,0,580880,190597
16,21,1,2,23,3849,0.18098161558880008,0,786416,799410
17,21,1,2,14,2481,0,0,200700,564237
18,21,1,2,6,2047,0,0,567525,798860
19,21,1,2,11,1895,0,0,545553,545553
20,21,1,2,8,2452,-1.865315852205006,0,800700,196665
21,21,1,2,15,4123,0.8113420579758,1,786978,794927
22,21,1,2,21,9145,-0.23574039427607846,0,785752,202781
23,21,1,2,5,2140,0.9121401275694634,0,583459,706980
24,21,1,2,24,9542,0.9421736650567176,0,200223,202629
25,21,1,2,7,2340,-0.1,0,797697,536366
26,21,2,1,24,10041,0,0,200223,200223
27,21,2,1,20,7941,-1.664729176963112,0,817632,705793
28,21,2,1,22,67329,2.2457616234959445,0,570492,202011
29,21,2,1,18,27646,-0.5661501787842669,0,817923,572024
30,21,2,1,17,7727,0,0,199702,797697
31,21,2,1,2,5525,0,0,773145,529693
32,21,2,1,25,17888,-0.09428849087604405,0,580880,539999
33,21,2,1,10,7585,0,0,192041,784608
34,21,2,1,13,16181,0,0,767136,767136
35,21,2,1,16,2781,0,1,784093,798900
36,21,2,1,14,6257,0,0,200700,564237
37,21,2,1,11,9613,0,0,545553,545553
38,21,2,1,12,3898,0,0,581232,203089
39,21,2,1,7,4686,0,0,199702,199958
40,21,2,1,5,9870,9.756327869157492,0,583459,799664
41,21,2,1,3,11004,0.5244338498212162,0,799796,814745
42,21,2,1,9,2893,0,0,191762,191762
43,21,2,1,21,17420,0,0,785752,785752
44,21,2,1,8,11902,-1.7759237187127532,0,800700,201087
45,21,2,1,19,4987,0,0,845632,800711
46,21,2,1,6,2507,0,0,786065,540239
47,21,2,1,23,85147,-1.3738708197128138,0,786416,852853
48,21,2,1,4,2695,0,0,800178,799664
49,21,2,1,1,15708,3.75,0,817923,191818
50,21,2,1,15,11910,0,0,768236,786978
51,21,3,3,10,5147,-0.975250048720355,0,784608,579966
52,21,3,3,21,19500,0.11257250792106036,0,785752,192705
53,21,3,3,19,2852,0,0,791286,791286
54,21,3,3,20,2812,-1.664729176963112,0,817632,786065
55,21,3,3,6,3003,0,0,784093,798505
56,21,3,3,14,5478,0,0,201105,571634
57,21,3,3,15,5164,2.8422783603244817,0,768236,189875
58,21,3,3,24,12713,0.9421736650567176,0,200223,202629
59,21,3,3,3,4663,0.8224076281287243,0,799796,795479
60,21,3,3,12,6125,0,0,752353,581232
61,21,3,3,8,3260,-4.01072705601907,0,800700,752401
62,21,3,3,16,5943,-3.375,0,784093,792140
63,21,3,3,22,4750,0,0,570492,570492
64,21,3,3,9,1852,0,0,197571,800711
65,21,3,3,11,2351,1.5199999999999996,0,545553,790129
66,21,3,3,17,1774,-0.96,1,703752,189875
67,21,3,3,18,7085,-0.9415971394517282,0,817923,563384
68,21,3,3,7,2313,-0.1,0,200700,536366
69,21,3,3,25,11820,-0.28097716357201996,0,580880,775249
70,21,3,3,1,9852,0.5,0,817923,581232
71,21,3,3,23,3636,0.18098161558880008,0,786416,799410
72,21,3,3,5,1780,1.2030403492597426,0,583459,814745
73,21,3,3,2,1637,0,0,752353,192873
74,21,3,3,13,4778,0.16686531585220443,0,767136,799420
75,21,3,3,4,1884,0,0,800178,192873
