Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,19,1,1,7,60101,0,0,579048,539336
2,19,1,1,21,53183,0.06847238873154922,0,785752,192644
3,19,1,1,24,45105,0,0,200223,200223
4,19,1,1,10,43192,0,0,579673,773538
5,19,1,1,1,23951,0.5,0,817923,581232
6,19,1,1,5,37159,0.031522504679101004,0,583459,570492
7,19,1,1,15,62753,0.6384746562517467,0,768236,785434
8,19,1,1,16,23321,0,0,545553,545553
9,19,1,1,17,28071,0,0,703752,199702
10,19,1,1,18,56753,-3.2061978545887957,0,817923,800602
11,19,1,1,4,8200,0,0,583122,583122
12,19,1,1,12,18967,0,0,529693,567741
13,19,1,1,9,12160,0,0,815898,706338
14,19,1,1,23,62385,0,0,786416,786416
15,19,1,1,20,11470,0,0,817632,817632
16,19,1,1,8,32688,0,0,800700,800700
17,19,1,1,11,15504,0.6099999999999994,1,545553,798526
18,19,1,1,3,52735,0.35756853396901,0,799796,797697
19,19,1,1,19,9249,0,0,791286,791286
20,19,1,1,25,52880,0.3592032210455617,0,580880,199958
21,19,1,1,6,36118,-0.3,0,799112,567550
22,19,1,1,13,34689,0.8641239570917758,0,767136,580500
23,19,1,1,14,12567,0,0,571634,571634
24,19,1,1,22,62358,2.957104364165155,0,570492,706338
25,19,1,1,2,7560,0,0,752353,752353
26,19,2,3,2,10018,0,0,539748,567741
27,19,2,3,3,16702,0.6734207389749702,0,799796,188056
28,19,2,3,12,9942,0,0,529693,581232
29,19,2,3,21,39272,-0.27528017593875165,0,785752,783405
30,19,2,3,22,23363,0.7660344406201848,0,570492,197899
31,19,2,3,9,5945,0,0,202856,202856
32,19,2,3,16,6339,0,0,545553,545553
33,19,2,3,25,24368,0.21407001584819696,0,580880,850557
34,19,2,3,4,11485,0.019999999999999574,0,785031,199958
35,19,2,3,18,7475,-0.4707985697258641,0,817923,767853
36,19,2,3,8,48255,-3.4684147794994042,0,800700,819475
37,19,2,3,19,10548,-1.29,0,707834,583459
38,19,2,3,13,5858,0.6078665077473175,0,767136,812161
39,19,2,3,23,23278,-0.7818696435503096,0,786416,705465
40,19,2,3,6,4891,0,0,706847,569795
41,19,2,3,10,19717,-1.5931445239084026,0,767136,707834
42,19,2,3,24,44587,0,0,200223,200223
43,19,2,3,14,8915,0,0,201105,200700
44,19,2,3,17,7579,-1.44,0,199702,202131
45,19,2,3,5,25213,0.2723453089514152,0,583459,847668
46,19,2,3,1,3634,0.5,0,817923,581232
47,19,2,3,15,14498,0.6240566414349864,0,768236,775517
48,19,2,3,7,5339,-0.24,0,199958,785752
49,19,2,3,11,16509,1.5199999999999996,0,545553,794927
50,19,2,3,20,36130,-0.9750524101006728,0,817632,535287
51,19,3,2,1,13921,0,0,817923,817923
52,19,3,2,21,17816,-0.020474456979086852,0,785752,789292
53,19,3,2,13,28128,0.39928486293206156,0,767136,539336
54,19,3,2,23,20839,-2.017242601116498,0,786416,791698
55,19,3,2,17,19138,-1.1600000000000001,0,199702,791698
56,19,3,2,19,37387,0,0,791286,800711
57,19,3,2,14,9077,10,0,571634,800711
58,19,3,2,12,6778,0,0,567741,567741
59,19,3,2,3,15500,0.25029797377830754,0,799796,767136
60,19,3,2,24,50042,0.6582240762812873,0,200223,200551
61,19,3,2,10,17227,0,0,773538,817632
62,19,3,2,2,14973,0,0,539685,568122
63,19,3,2,18,3634,-4.171632896305125,0,817923,773538
64,19,3,2,8,18827,-2.1156138259833135,0,800700,707834
65,19,3,2,25,13110,-0.28097716357201996,0,580880,775249
66,19,3,2,22,18430,0,0,570492,570492
67,19,3,2,20,21973,-0.9750524101006728,0,817632,535287
68,19,3,2,7,3664,-0.96,0,772665,189875
69,19,3,2,11,7794,0,0,545553,545553
70,19,3,2,6,10341,0,0,579103,800841
71,19,3,2,16,12194,0,0,545553,784093
72,19,3,2,9,5361,-0.42,0,192644,846493
73,19,3,2,15,20125,0.785583039006303,0,786978,189872
74,19,3,2,4,3730,0,0,580880,785031
75,19,3,2,5,10123,0.4719060815934384,0,583459,786978
