Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,37,1,1,12,6573,3.120000000000001,0,581232,200939
2,37,1,1,3,15617,0.35756853396901,0,799796,189875
3,37,1,1,17,3330,-0.08,0,799783,786070
4,37,1,1,22,41020,1.1911359750553707,0,570492,200169
5,37,1,1,9,3134,0,0,785434,783915
6,37,1,1,23,45570,0.08104886769964245,0,786416,767759
7,37,1,1,11,4288,1.5199999999999996,0,545553,790129
8,37,1,1,5,6981,0.031522504679101004,0,583459,570492
9,37,1,1,13,6892,0.8641239570917758,0,767136,580500
10,37,1,1,7,3500,0,0,199958,772665
11,37,1,1,1,6317,0.7750000000000004,0,817923,539336
12,37,1,1,4,2341,0,0,539999,785377
13,37,1,1,21,20618,-0.020474456979086852,0,785752,789292
14,37,1,1,20,7816,-0.9750524101006728,0,817632,535287
15,37,1,1,2,4420,0,0,192873,539748
16,37,1,1,14,4523,0,0,200700,564237
17,37,1,1,19,14651,0,0,707834,707834
18,37,1,1,10,5843,-0.9050794648325128,0,799664,784595
19,37,1,1,25,9902,0.4074361931479924,0,580880,540239
20,37,1,1,8,19995,0,0,800700,800700
21,37,1,1,24,12493,0,0,200223,200223
22,37,1,1,15,7471,0,0,786978,768236
23,37,1,1,6,1891,0,0,540239,707981
24,37,1,1,18,17427,0,0,817923,817923
25,37,1,1,16,13509,0,0,784093,545553
26,37,2,3,20,8793,-1.664729176963112,0,817632,705793
27,37,2,3,22,6425,0,0,570492,570492
28,37,2,3,10,6860,-1.605974129729772,0,784608,789990
29,37,2,3,3,2046,0.6734207389749702,0,799796,188056
30,37,2,3,25,10143,-0.26571344438688593,0,580880,772665
31,37,2,3,17,1971,-1.94,0,579048,812544
32,37,2,3,18,12391,-0.6197854588796181,0,817923,707981
33,37,2,3,12,5880,0,0,529693,581232
34,37,2,3,9,1492,0,0,202856,202856
35,37,2,3,8,4590,-1.6567342073897497,0,800700,817632
36,37,2,3,4,2455,0,0,776783,581169
37,37,2,3,1,2418,0.7750000000000004,0,817923,539336
38,37,2,3,14,3295,0,0,201105,200700
39,37,2,3,2,1366,0,0,568122,581232
40,37,2,3,24,6694,0.9930498348216314,0,200223,202011
41,37,2,3,19,10643,0,0,791286,845632
42,37,2,3,6,1361,-1,0,706847,579048
43,37,2,3,7,1887,-0.14,0,200700,537330
44,37,2,3,16,2306,-3.375,0,545553,706338
45,37,2,3,23,2137,-0.7818696435503096,0,786416,705465
46,37,2,3,15,8975,0.6384746562517467,0,786978,785434
47,37,2,3,21,15186,0.22744923745994222,0,785752,800711
48,37,2,3,13,2520,0.6078665077473175,0,767136,812161
49,37,2,3,5,2842,0.9075802339869448,0,583459,772665
50,37,2,3,11,4823,0,1,545553,539999
51,37,3,2,6,1520,-0.25,0,197321,799410
52,37,3,2,4,1445,0,0,203857,203857
53,37,3,2,14,2978,0,0,564237,564237
54,37,3,2,23,3340,0.21635313840379133,0,786416,538990
55,37,3,2,18,4622,-2.33611442193087,0,817923,572508
56,37,3,2,17,2468,-0.38,0,799783,785218
57,37,3,2,8,1723,-3.1942789034564956,0,800700,791286
58,37,3,2,2,1412,3.120000000000001,0,798505,189763
59,37,3,2,22,10211,1.5495420588685385,0,570492,535895
60,37,3,2,7,2507,-0.08,0,772665,767759
61,37,3,2,16,5585,-3.625,0,545553,794927
62,37,3,2,11,2302,1.5199999999999996,0,545553,790129
63,37,3,2,24,5967,-0.3834922526817639,0,200223,192622
64,37,3,2,21,2485,1.120620765049966,0,785752,783915
65,37,3,2,12,5684,3.120000000000001,0,752353,192622
66,37,3,2,25,6419,0.8518452224919404,0,580880,190597
67,37,3,2,3,2008,0.7330154946364722,0,799796,581050
68,37,3,2,10,3717,0,0,192041,817632
69,37,3,2,15,5481,0.8065533895543915,0,786978,539999
70,37,3,2,19,6673,0,0,707834,707834
71,37,3,2,9,1732,0,0,544863,544863
72,37,3,2,20,6606,-1.664729176963112,0,817632,786065
73,37,3,2,5,1901,1.2832481395692383,0,583459,706338
74,37,3,2,13,3495,0.977353992848629,1,767136,785752
75,37,3,2,1,32190,2.75,0,817923,200223
