Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,22,1,2,3,6556,1.156138259833135,0,799796,545150
2,22,1,2,18,24044,-7.139451728247915,0,817923,800178
3,22,1,2,20,30108,-1.664729176963112,0,817632,705793
4,22,1,2,13,18434,2.6281287246722282,0,767136,569795
5,22,1,2,25,24508,0.836654436738708,0,580880,197396
6,22,1,2,14,18575,0.019999999999999574,0,200700,199958
7,22,1,2,6,8741,-1.25,0,583459,817632
8,22,1,2,19,32532,0,0,800711,845632
9,22,1,2,1,12813,0.5,0,817923,581232
10,22,1,2,10,43132,-4.481547217643308,0,773538,579048
11,22,1,2,17,21896,-2.08,0,799783,579103
12,22,1,2,8,12578,-3.8081048867699643,0,800700,197605
13,22,1,2,16,13295,0,0,784093,784093
14,22,1,2,22,43056,0,0,570492,570492
15,22,1,2,21,32674,-0.27528017593875165,0,785752,783405
16,22,1,2,9,19395,-0.01,0,819475,189875
17,22,1,2,24,21704,-0.3834922526817639,0,200223,192622
18,22,1,2,5,9046,0.9839131236700176,0,583459,529693
19,22,1,2,12,19409,0,0,581232,567741
20,22,1,2,15,19187,0,0,768236,786978
21,22,1,2,2,12335,0,0,539748,773145
22,22,1,2,23,6264,0.18098161558880008,0,786416,799410
23,22,1,2,11,15601,1.5199999999999996,0,545553,794927
24,22,1,2,7,16123,-1.1400000000000001,0,539336,706231
25,22,1,2,4,16692,0,0,581050,581169
26,22,2,3,6,10015,0,0,768236,705294
27,22,2,3,22,17599,0.35817508424354577,0,570492,202738
28,22,2,3,11,79631,1.5199999999999996,0,545553,792046
29,22,2,3,13,20840,2.8545887961859346,0,767136,800802
30,22,2,3,7,18904,-0.48,0,199702,578426
31,22,2,3,23,7280,0.18098161558880008,0,786416,799410
32,22,2,3,1,15991,0.5,0,817923,581232
33,22,2,3,14,19139,0,0,571634,564237
34,22,2,3,5,15335,1.143560682832641,0,583459,773145
35,22,2,3,19,12974,-10,0,791286,564237
36,22,2,3,2,8191,0,0,752353,192873
37,22,2,3,18,10600,-0.6197854588796181,0,817923,707981
38,22,2,3,21,11583,-0.27528017593875165,0,785752,783405
39,22,2,3,25,20855,0.8518452224919404,0,580880,190597
40,22,2,3,15,11693,-0.4403835769143374,1,786978,570492
41,22,2,3,16,19486,-3.625,0,545553,790129
42,22,2,3,17,14584,-0.08,0,772665,776783
43,22,2,3,24,17063,1.0708983372855616,0,200223,203050
44,22,2,3,3,13364,0.7330154946364722,0,799796,581050
45,22,2,3,12,16401,0,0,752353,567741
46,22,2,3,10,24575,-3.032592559117525,0,792429,706231
47,22,2,3,9,10792,-0.37,0,775517,579103
48,22,2,3,8,27258,-2.9976162097735397,0,800700,752353
49,22,2,3,20,26416,-0.9750524101006728,0,817632,535287
50,22,2,3,4,6856,0,0,570924,773145
51,22,3,1,11,14511,0,1,545553,197321
52,22,3,1,13,12737,0,0,767136,767136
53,22,3,1,9,14838,0,0,789736,546207
54,22,3,1,22,36598,0,0,570492,570492
55,22,3,1,5,26368,0,0,583459,583459
56,22,3,1,24,90216,0,0,200223,200223
57,22,3,1,18,33017,-1.5196662693682952,1,817923,791286
58,22,3,1,1,13838,0.7750000000000004,0,817923,539336
59,22,3,1,19,17184,0,0,800711,791286
60,22,3,1,2,15584,0,0,567741,529693
61,22,3,1,23,28135,-2.6690164084916947,0,786416,818471
62,22,3,1,10,11944,0,0,767136,784608
63,22,3,1,4,12560,0,0,812161,812161
64,22,3,1,12,16735,0,1,529693,798505
65,22,3,1,6,7216,0,0,786941,580880
66,22,3,1,15,26831,6.705335410008121,1,786978,545553
67,22,3,1,17,22983,-0.08,0,799783,786070
68,22,3,1,7,11008,0,0,799783,201105
69,22,3,1,20,64447,-1.664729176963112,0,817632,705793
70,22,3,1,16,13567,0,1,545553,189763
71,22,3,1,21,33784,0,0,785752,785752
72,22,3,1,14,16095,0,1,571634,192873
73,22,3,1,3,29030,0.5244338498212162,0,799796,814745
74,22,3,1,8,17481,-2.1454112038140645,0,800700,767853
75,22,3,1,25,27390,0.9987872745542102,0,580880,786020
