Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,16,1,2,14,5502,0,0,571634,564237
2,16,1,2,4,2278,0,0,570492,540239
3,16,1,2,16,10868,0,0,784093,545553
4,16,1,2,24,6582,0,0,200223,200223
5,16,1,2,7,4266,-0.18,0,200700,819475
6,16,1,2,22,30328,0.7660344406201848,0,570492,197899
7,16,1,2,21,30489,-0.004767580452920228,0,785752,792140
8,16,1,2,5,4720,1.1992140295633327,0,583459,703752
9,16,1,2,10,3443,0,0,817632,817632
10,16,1,2,13,4912,0.9117997616209763,0,767136,192873
11,16,1,2,18,6735,-0.5661501787842669,0,817923,203146
12,16,1,2,2,3988,0,0,569795,569795
13,16,1,2,12,4706,0,0,529693,529693
14,16,1,2,8,8491,-3.3253873659118,0,800700,786416
15,16,1,2,3,1556,1.126340882002383,0,799796,773752
16,16,1,2,11,3087,1.5199999999999996,0,545553,792046
17,16,1,2,9,2053,0,0,752353,752401
18,16,1,2,25,11212,0.21407001584819696,0,580880,850557
19,16,1,2,17,4996,-2.08,0,772665,579103
20,16,1,2,20,9791,-0.9750524101006728,0,817632,535287
21,16,1,2,15,3917,0,0,786978,786978
22,16,1,2,6,3157,0,0,545553,787133
23,16,1,2,1,14830,0,0,817923,817923
24,16,1,2,19,7693,0,0,707834,800711
25,16,1,2,23,7091,0.19739463704809487,0,786416,819475
26,16,2,3,10,7192,-0.07166281703490723,0,799664,752401
27,16,2,3,1,9616,0,0,817923,817923
28,16,2,3,19,5526,0,0,707834,800711
29,16,2,3,25,5646,0.21711363179488571,0,580880,705294
30,16,2,3,2,2774,0.6399999999999988,0,540354,784702
31,16,2,3,24,13345,-0.3834922526817639,0,200223,192622
32,16,2,3,20,14143,-1.605974129729772,0,817632,789990
33,16,2,3,6,2136,0,0,799664,768236
34,16,2,3,11,3677,0,0,545553,545553
35,16,2,3,3,2721,1.3706793802145416,0,799796,706338
36,16,2,3,14,4200,2.9000000000000004,0,564237,544470
37,16,2,3,23,1869,0.08104886769964245,0,786416,767759
38,16,2,3,7,2556,-0.43999999999999995,0,579048,775517
39,16,2,3,5,2565,0.7365764612543817,0,583459,784702
40,16,2,3,15,37,5.894829750796052,1,786978,202575
41,16,2,3,18,8365,-0.5661501787842669,0,817923,203146
42,16,2,3,17,3845,-0.52,0,703752,785377
43,16,2,3,4,2209,0,0,812544,192873
44,16,2,3,9,1038,0,0,784093,191034
45,16,2,3,12,3599,0,0,529693,581232
46,16,2,3,16,6592,0,0,545553,545553
47,16,2,3,13,5438,0.6495828367103691,0,767136,567550
48,16,2,3,21,16344,-0.27528017593875165,0,785752,783405
49,16,2,3,8,7192,-2.1156138259833135,0,800700,707834
50,16,2,3,22,9456,0,0,570492,570492
51,16,3,1,20,10839,0,0,817632,817632
52,16,3,1,17,6951,0,0,797697,199702
53,16,3,1,14,113,0,0,564237,201105
56,16,3,1,10,19781,0,0,767136,192041
57,16,3,1,16,11592,0,0,784093,545553
58,16,3,1,13,11440,0.15494636471990475,0,767136,798860
59,16,3,1,3,14709,0.5005959475566151,0,799796,799783
60,16,3,1,9,4806,0,0,752401,752401
61,16,3,1,25,20104,0.8741921407200819,0,580880,798110
62,16,3,1,24,24742,0,0,200223,200223
63,16,3,1,7,8739,0,0,199958,199958
64,16,3,1,19,4911,0,0,800711,845632
65,16,3,1,21,40934,-0.004767580452920228,0,785752,792140
66,16,3,1,5,8764,0,0,583459,583459
67,16,3,1,15,10648,0,0,786978,786978
68,16,3,1,12,3103,0,0,752353,752353
69,16,3,1,2,1973,0,0,539685,784595
70,16,3,1,8,8581,0,0,800700,800700
71,16,3,1,23,12208,0.08104886769964245,0,786416,767759
72,16,3,1,18,16485,-0.4588796185935635,0,817923,579585
73,16,3,1,1,13816,2.75,0,817923,200223
74,16,3,1,4,2485,0,0,581169,581169
75,16,3,1,6,1966,0,0,579585,540239
76,16,3,1,11,4591,0,0,545553,545553
77,16,3,1,22,13767,0,0,570492,570492
