Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,15,1,2,4,3160,0,0,572024,572024
2,15,1,2,16,7814,0,0,545553,784093
3,15,1,2,18,17888,0,0,817923,817923
4,15,1,2,15,9469,0,0,768236,786978
5,15,1,2,25,80994,-0.09428849087604405,0,580880,539999
6,15,1,2,24,13495,-0.3834922526817639,0,200223,192622
7,15,1,2,6,8734,0,0,197321,568076
8,15,1,2,12,9886,0,0,203089,529693
9,15,1,2,23,8302,-0.9873171589807482,0,786416,544863
10,15,1,2,1,6737,0.7750000000000004,0,817923,539336
11,15,1,2,17,5231,-0.66,0,799783,581050
12,15,1,2,2,3972,0,0,203089,203089
13,15,1,2,14,2944,0.6500000000000004,0,571634,852890
14,15,1,2,3,9806,1.1620977353992838,0,799796,792046
15,15,1,2,7,2558,0,0,703752,544470
16,15,1,2,22,24318,0.8820023837902266,0,570492,570924
17,15,1,2,11,2890,1.5199999999999996,0,545553,790129
18,15,1,2,9,2384,-0.42,0,202131,846493
19,15,1,2,8,19482,-1.7759237187127532,0,800700,201087
20,15,1,2,13,4187,0.16686531585220443,0,767136,799420
21,15,1,2,5,5771,1.3609552228858401,0,583459,850557
22,15,1,2,10,3900,-0.07166281703490723,0,792429,752401
23,15,1,2,21,8560,-0.27528017593875165,0,785752,783405
24,15,1,2,20,12743,-1.664729176963112,0,817632,786065
25,15,1,2,19,2747,-1.29,0,791286,583459
26,15,2,1,16,8003,0,0,545553,545553
27,15,2,1,17,9879,0,0,703752,703752
28,15,2,1,1,149,10,0,817923,786020
29,15,2,1,11,15834,0,0,545553,545553
30,15,2,1,7,11451,0,0,199958,539336
31,15,2,1,3,44369,0,0,799796,799796
32,15,2,1,14,16758,0,0,571634,571634
33,15,2,1,10,11997,0,0,192041,773538
34,15,2,1,15,19126,0,0,786978,768236
35,15,2,1,8,12295,0,0,800700,800700
36,15,2,1,21,26325,-0.038564958283670944,0,785752,790137
37,15,2,1,25,92044,0,0,580880,580880
38,15,2,1,9,4414,0,0,202575,200939
39,15,2,1,13,28952,0,0,767136,767136
40,15,2,1,2,20722,0,0,784595,567741
41,15,2,1,12,22920,0,0,529693,581232
42,15,2,1,24,40348,0,0,200223,200223
43,15,2,1,18,30449,0,0,817923,817923
44,15,2,1,23,71953,0.08104886769964245,0,786416,767759
45,15,2,1,4,4308,0,0,545553,578681
46,15,2,1,20,12565,0,0,817632,817632
47,15,2,1,5,30803,0,0,583459,583459
48,15,2,1,6,3769,0,0,579103,818471
49,15,2,1,19,10592,0,0,707834,845632
50,15,2,1,22,97609,0,0,570492,570492
51,15,3,3,1,24301,0.7750000000000004,0,817923,539336
52,15,3,3,17,3001,0,0,579048,579048
53,15,3,3,11,4857,1.5199999999999996,0,545553,790129
54,15,3,3,6,3602,0,0,567525,538990
55,15,3,3,25,18014,0,0,580880,580880
56,15,3,3,15,10479,0.8065533895543915,0,786978,539999
57,15,3,3,4,2905,0,0,705294,192873
58,15,3,3,24,13621,0,0,200223,200223
59,15,3,3,14,5233,0,0,564237,201105
60,15,3,3,16,3615,0,0,784093,545553
61,15,3,3,8,11716,0,0,800700,800700
62,15,3,3,10,18189,-0.07166281703490723,0,784608,752401
63,15,3,3,18,16252,-0.4588796185935635,0,817923,579585
64,15,3,3,22,9685,0,0,570492,570492
65,15,3,3,7,4113,-0.48,0,797697,578426
66,15,3,3,5,6822,0.7365764612543817,0,583459,784702
67,15,3,3,2,3660,0,0,581232,773145
68,15,3,3,19,5502,0,0,707834,707834
69,15,3,3,13,9694,0.6078665077473175,0,767136,812161
70,15,3,3,23,16477,0.18098161558880008,0,786416,799410
71,15,3,3,21,26273,-0.038564958283670944,0,785752,790137
72,15,3,3,3,8815,1.1084624553039326,0,799796,540239
73,15,3,3,9,4086,0,0,784093,536366
74,15,3,3,12,3866,0,0,203089,581232
75,15,3,3,20,8579,-1.605974129729772,0,817632,789990
