Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,14,1,1,18,4562,-3.2061978545887957,0,817923,800602
2,14,1,1,7,3404,-0.02,0,772665,800602
3,14,1,1,3,7824,0.6853396901072699,0,799796,784093
4,14,1,1,2,1816,0,0,752353,784595
5,14,1,1,21,28669,0.2837262021040969,0,785752,845632
6,14,1,1,9,3356,0,0,706338,706338
7,14,1,1,13,20081,0,0,767136,767136
8,14,1,1,6,3825,0,0,568076,568076
9,14,1,1,5,14678,0,0,583459,583459
10,14,1,1,10,6303,0,0,192041,579673
11,14,1,1,14,2927,0,0,201105,201105
12,14,1,1,23,5613,0.08104886769964245,0,786416,767759
13,14,1,1,11,111,10,1,545553,203089
14,14,1,1,1,38824,0.5,0,817923,581232
15,14,1,1,16,7792,0,0,784093,545553
16,14,1,1,25,31253,0.7197233559741573,0,580880,776987
17,14,1,1,4,3431,0,0,579048,579048
18,14,1,1,15,18126,0,0,786978,768236
19,14,1,1,20,14038,0,0,817632,817632
20,14,1,1,24,97118,0.6582240762812873,0,200223,200551
21,14,1,1,8,5926,0,0,800700,800700
22,14,1,1,17,9224,0,0,579048,199702
23,14,1,1,22,45619,0,0,570492,570492
24,14,1,1,12,10168,0,0,567741,203089
25,14,1,1,19,6187,0,0,707834,707834
26,14,2,2,25,5535,0.07806742676653222,0,580880,703752
27,14,2,2,22,23658,0,0,570492,570492
28,14,2,2,18,42116,0,0,817923,817923
29,14,2,2,2,6852,0,0,192873,800802
30,14,2,2,11,4928,0,0,545553,545553
31,14,2,2,20,27853,-0.9750524101006728,0,817632,535287
32,14,2,2,1,33920,0.5,0,817923,581232
33,14,2,2,13,31673,0.6436233611442184,0,767136,800178
34,14,2,2,9,4541,0,0,777079,777079
35,14,2,2,17,8160,-0.48,0,579048,578426
36,14,2,2,8,2057,0,0,800700,800700
37,14,2,2,23,35393,0.08104886769964245,0,786416,767759
38,14,2,2,5,18452,0.031522504679101004,0,583459,570492
39,14,2,2,3,27023,0.35756853396901,0,799796,797697
40,14,2,2,12,17231,0,0,529693,581232
41,14,2,2,4,1637,0,0,567550,567550
42,14,2,2,15,17398,0,0,786978,768236
43,14,2,2,6,3097,0,0,785218,793584
44,14,2,2,19,8095,0,0,800711,800711
45,14,2,2,21,8398,0.27525714698748127,0,785752,795479
46,14,2,2,10,22583,0,0,773538,579673
47,14,2,2,7,3069,-0.48,0,579048,773538
48,14,2,2,24,5850,0,0,200223,200223
49,14,2,2,16,7677,0,0,545553,545553
50,14,2,2,14,5521,0,0,571634,571634
51,14,3,3,4,1471,0,0,539748,539748
52,14,3,3,12,6080,0,0,529693,529693
53,14,3,3,10,18134,0,0,767136,817632
54,14,3,3,1,20869,0,0,817923,817923
55,14,3,3,23,14148,0.18098161558880008,0,786416,799410
56,14,3,3,3,20388,0.7151370679380218,0,799796,189763
57,14,3,3,11,8577,0,0,545553,545553
58,14,3,3,20,5471,-0.9750524101006728,0,817632,535287
59,14,3,3,21,13061,-0.27528017593875165,0,785752,783405
60,14,3,3,18,41898,0,0,817923,817923
61,14,3,3,14,3525,0,0,564237,200700
62,14,3,3,5,2271,0.031522504679101004,0,583459,570492
63,14,3,3,9,2736,0,0,767759,767759
64,14,3,3,19,3184,0,0,707834,800711
65,14,3,3,16,3946,0,0,784093,784093
66,14,3,3,7,1360,-0.02,0,539336,818471
67,14,3,3,8,1912,-1.6567342073897497,0,800700,817632
68,14,3,3,24,4126,-0.3834922526817639,0,200223,192622
69,14,3,3,22,22983,0.35817508424354577,0,570492,202738
70,14,3,3,2,3312,0,0,540354,540354
71,14,3,3,25,29481,0.5811386757174466,0,580880,572201
72,14,3,3,17,2328,-0.4,0,797697,785031
73,14,3,3,13,17803,5.828367103694875,0,767136,784702
74,14,3,3,15,6072,0,0,768236,786978
75,14,3,3,6,1609,0,0,787133,787133
