Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,11,1,3,24,18888,-0.3834922526817639,0,200223,192622
2,11,1,3,9,1064,0,0,191762,799410
3,11,1,3,8,928,-1.6567342073897497,0,800700,817632
4,11,1,3,4,1000,0,0,773538,577674
5,11,1,3,20,5627,-1.605974129729772,0,817632,789990
6,11,1,3,25,9003,0.04245834955644945,0,580880,812544
7,11,1,3,1,4061,0.5,0,817923,581232
8,11,1,3,19,3919,0,0,707834,845632
9,11,1,3,17,1067,-0.18,0,799783,819475
10,11,1,3,14,2348,0,0,571634,571634
11,11,1,3,15,3539,0.8065533895543915,0,768236,539999
12,11,1,3,7,941,-0.12,0,797697,783915
13,11,1,3,10,972,-2.095049687660379,0,767136,786941
14,11,1,3,2,1007,0,0,539748,773145
15,11,1,3,18,10274,-2.0858164481525625,0,817923,818303
16,11,1,3,12,1001,0,0,567741,581232
17,11,1,3,6,1814,0,0,191695,799664
18,11,1,3,11,2454,1.5199999999999996,0,545553,790129
19,11,1,3,23,6414,-0.7818696435503096,0,786416,705465
20,11,1,3,13,1160,0.16686531585220443,0,767136,799420
21,11,1,3,3,1514,1.179976162097736,0,799796,580880
22,11,1,3,16,1988,0,0,784093,784093
23,11,1,3,21,35900,0.26371447019646566,0,785752,532764
24,11,1,3,5,1606,0.9075802339869448,0,583459,772665
25,11,1,3,22,1920,-0.2910989197924147,0,570492,773145
26,11,2,1,25,6517,-1.1219343515515825,0,580880,529693
27,11,2,1,5,1645,0.4973597364091873,0,583459,584208
28,11,2,1,19,5179,0,0,845632,800711
29,11,2,1,13,5875,0.31585220500596023,0,767136,799664
30,11,2,1,21,6880,-0.020474456979086852,0,785752,789292
31,11,2,1,9,1483,0,0,197571,706338
32,11,2,1,3,2021,0.6317044100119187,0,799796,564237
33,11,2,1,17,3117,-0.12,0,199702,800784
34,11,2,1,20,3724,0,0,817632,817632
35,11,2,1,23,14287,-0.8850442770127526,0,786416,583459
36,11,2,1,15,8338,0.6240566414349864,0,768236,775517
37,11,2,1,24,34405,0.8896388399914048,0,200223,203089
38,11,2,1,16,4632,0,0,784093,545553
39,11,2,1,18,11466,-0.4588796185935635,0,817923,579585
40,11,2,1,4,1339,0,0,776783,199702
41,11,2,1,22,30899,-0.05963283204608807,0,570492,784702
42,11,2,1,14,3299,0,0,564237,200700
43,11,2,1,11,4241,0,0,545553,545553
44,11,2,1,1,19356,0,0,817923,817923
45,11,2,1,12,11071,0,0,567741,752353
46,11,2,1,6,1594,0,0,199958,579673
47,11,2,1,2,1899,0,0,567741,192873
48,11,2,1,8,12104,-1.6746126340882004,0,800700,817923
49,11,2,1,7,1664,-0.16,0,201105,784608
50,11,2,1,10,2263,0,0,799664,799664
51,11,3,2,16,1343,-3.75,0,784093,789292
52,11,3,2,2,1069,0,0,539748,539748
53,11,3,2,10,1059,-1.6301691237900704,0,792429,767503
54,11,3,2,11,1076,1.5199999999999996,0,545553,794927
55,11,3,2,3,1386,1.066746126340881,0,799796,200169
56,11,3,2,15,5240,0.6384746562517467,0,786978,785434
57,11,3,2,20,2358,-3.874066645701009,0,817632,706807
58,11,3,2,19,3810,0,0,707834,845632
59,11,3,2,8,892,-2.3182359952324196,0,800700,192726
60,11,3,2,25,2381,0.07987086683350349,0,580880,193060
61,11,3,2,12,5234,0,0,529693,752353
62,11,3,2,5,903,2.096091302432006,0,583459,786070
63,11,3,2,13,2927,0.15494636471990475,0,767136,798860
64,11,3,2,23,3383,-0.7818696435503096,0,786416,705465
65,11,3,2,1,2814,0,0,817923,817923
66,11,3,2,4,975,0,0,572024,572508
67,11,3,2,14,2101,0,0,564237,201105
68,11,3,2,6,2125,0,0,800841,191695
69,11,3,2,9,2249,-0.24,0,789538,789990
70,11,3,2,17,1934,-0.08,0,579048,776783
71,11,3,2,24,6545,-0.3834922526817639,0,200223,192622
72,11,3,2,18,2902,-0.5184743742550655,0,817923,203857
73,11,3,2,21,5211,0.0787900281527751,0,785752,799796
74,11,3,2,22,9954,1.0184378137469214,0,570492,798112
75,11,3,2,7,1132,-0.24,0,772665,706338
