Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,10,1,2,23,18334,0.21635313840379133,0,786416,538990
2,10,1,2,8,6241,-2.193087008343266,0,800700,203857
3,10,1,2,14,9504,0.019999999999999574,0,571634,199958
4,10,1,2,6,6336,-0.25,0,546207,799410
5,10,1,2,13,7787,0.6436233611442184,0,767136,800178
6,10,1,2,16,11469,0,0,545553,784093
7,10,1,2,11,8079,0,0,545553,545553
8,10,1,2,7,2937,-0.02,0,199702,791286
9,10,1,2,15,11743,8.30936937746338,0,768236,535287
10,10,1,2,10,13139,0,0,579673,817632
11,10,1,2,19,8025,0,0,800711,845632
12,10,1,2,5,3451,0.5478961744663486,0,583459,817865
13,10,1,2,9,2080,0,0,785752,847668
14,10,1,2,17,6417,-0.8,0,199702,705294
15,10,1,2,20,8478,-1.605974129729772,0,817632,789990
16,10,1,2,18,10167,-0.5661501787842669,0,817923,572024
17,10,1,2,1,5056,0.7750000000000004,0,817923,539336
18,10,1,2,21,4849,0,0,785752,785752
19,10,1,2,4,2012,0,0,570492,580500
20,10,1,2,2,8655,0,0,752353,798505
21,10,1,2,3,3184,0.25029797377830754,0,799796,767136
22,10,1,2,25,36123,0.5811386757174466,0,580880,572201
23,10,1,2,12,7704,0,0,752353,567741
24,10,1,2,22,27047,0,0,570492,570492
25,10,1,2,24,12325,-0.3834922526817639,0,200223,192622
26,10,2,3,17,4223,-10,0,799783,581232
27,10,2,3,6,2620,0,0,786020,800602
28,10,2,3,14,5691,0.019999999999999574,0,564237,199958
29,10,2,3,2,3831,0,0,568122,540354
30,10,2,3,19,4013,-1.29,0,845632,583459
31,10,2,3,15,7476,7.619692610600941,0,768236,705793
32,10,2,3,12,7323,0,0,529693,529693
33,10,2,3,25,10355,0.046497803663062595,0,580880,189832
34,10,2,3,16,6518,0,0,545553,545553
35,10,2,3,24,49895,0.9421736650567176,0,200223,202629
36,10,2,3,8,22371,0,0,800700,800700
37,10,2,3,1,3911,0,0,817923,817923
38,10,2,3,4,1440,0,0,563384,800178
39,10,2,3,3,4204,0.6197854588796172,0,799796,535847
40,10,2,3,9,1359,0,0,786978,197571
41,10,2,3,23,10815,-1.3055257818412744,0,786416,793584
42,10,2,3,22,11710,1.5495420588685385,0,570492,535895
43,10,2,3,21,15700,-0.27528017593875165,0,785752,783405
44,10,2,3,10,3587,0,0,192041,817632
45,10,2,3,18,15965,-0.4707985697258641,0,817923,767853
46,10,2,3,13,2255,1.1918951132300357,0,767136,572201
47,10,2,3,5,5412,0.5403805503217214,0,583459,581050
48,10,2,3,7,7207,-0.08,0,772665,852853
49,10,2,3,20,22859,-6.05354986907585,0,817632,786416
50,10,2,3,11,2622,1.5199999999999996,0,545553,790129
51,10,3,1,14,5092,0,0,200700,201105
52,10,3,1,5,11289,1.110380737845185,0,583459,785434
53,10,3,1,21,37140,0.4209140047565004,0,785752,785434
54,10,3,1,6,4725,0,0,798505,540966
55,10,3,1,13,3952,0.15494636471990475,0,767136,798860
56,10,3,1,10,6534,0,0,192041,579673
57,10,3,1,24,49163,1.9595132948774185,0,200223,845632
58,10,3,1,2,4600,0,0,773145,203089
59,10,3,1,7,6861,-0.08,0,199702,852853
60,10,3,1,19,6268,0,0,845632,791286
61,10,3,1,16,5048,0,0,784093,784093
62,10,3,1,4,3615,0,0,817245,564237
63,10,3,1,1,19357,3.75,0,817923,581050
64,10,3,1,11,11887,0,0,545553,545553
65,10,3,1,25,38860,-0.019918768116362173,0,580880,567550
66,10,3,1,15,11664,0,0,786978,768236
67,10,3,1,18,38861,0,0,817923,817923
68,10,3,1,3,4326,0.6793802145411192,0,799796,798505
69,10,3,1,8,4549,0,0,800700,800700
70,10,3,1,17,10285,0,0,797697,772665
71,10,3,1,20,6951,-0.9750524101006728,0,817632,535287
72,10,3,1,9,3606,0,0,197864,752401
73,10,3,1,22,108099,0,0,570492,570492
74,10,3,1,12,22792,0,0,203089,752353
75,10,3,1,23,151917,0,0,786416,786416
