Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,28,1,2,12,15963,0,0,529693,529693
2,28,1,2,13,18047,0,0,767136,767136
3,28,1,2,7,11528,-0.16,0,846493,538990
4,28,1,2,21,60185,0.028605482717521013,0,785752,706338
5,28,1,2,14,13872,0.3200000000000003,0,201105,852853
6,28,1,2,5,20565,0.031522504679101004,0,583459,570492
7,28,1,2,3,22292,0.6793802145411192,0,799796,798505
8,28,1,2,9,13237,-1.44,0,201087,532764
9,28,1,2,20,17079,-1.664729176963112,0,817632,786065
10,28,1,2,17,12384,-2.82,0,799783,794281
11,28,1,2,6,11192,-1.75,0,540239,752401
12,28,1,2,25,49526,0,0,580880,580880
13,28,1,2,10,18021,-1.605974129729772,0,192041,789990
14,28,1,2,11,21942,1.5199999999999996,0,545553,785481
15,28,1,2,4,4845,0,0,578866,705294
16,28,1,2,23,18868,0.18098161558880008,0,786416,799410
17,28,1,2,1,13916,1.5,0,817923,192622
18,28,1,2,22,14764,0.35817508424354577,0,570492,202738
19,28,1,2,18,12846,0,0,817923,817923
20,28,1,2,24,17427,0,0,200223,200223
21,28,1,2,2,9005,0,0,798505,572024
22,28,1,2,15,22298,0.8065533895543915,0,786978,539999
23,28,1,2,19,24458,0,0,800711,800711
24,28,1,2,16,12942,-3.625,0,545553,794927
25,28,1,2,8,13266,-2.7294398092967818,0,800700,191695
26,28,2,3,5,8094,0.9998234324522528,0,583459,197864
27,28,2,3,17,9113,-1.06,0,772665,786020
28,28,2,3,10,12645,-2.095049687660379,0,817632,786941
29,28,2,3,22,6060,0,0,570492,570492
30,28,2,3,1,6243,0.5,0,817923,581232
31,28,2,3,6,4218,-1.5,0,850557,567741
32,28,2,3,13,14107,0.39928486293206156,0,767136,539336
33,28,2,3,3,6648,0.5005959475566151,0,799796,799783
34,28,2,3,24,59523,0.6582240762812873,0,200223,200551
35,28,2,3,21,14635,0.028605482717521013,0,785752,706338
36,28,2,3,8,6596,-2.3837902264600714,0,800700,202575
37,28,2,3,18,11072,-0.8700834326579261,0,817923,579924
38,28,2,3,20,14135,-4.506259558091166,0,817632,789538
39,28,2,3,19,17882,0,0,845632,845632
40,28,2,3,15,11079,0,0,768236,786978
41,28,2,3,4,21800,0,0,572508,705793
42,28,2,3,14,10298,0,0,200700,564237
43,28,2,3,7,9365,-2.56,0,200700,583122
44,28,2,3,16,26674,-1.75,0,545553,847668
45,28,2,3,9,5508,-1.29,0,789538,583459
46,28,2,3,25,51898,0.8518452224919404,0,580880,190597
47,28,2,3,2,6870,0,0,529693,773145
48,28,2,3,12,13082,0,0,752353,581232
49,28,2,3,23,5871,0.18098161558880008,0,786416,799410
50,28,2,3,11,15349,1.5199999999999996,0,545553,790129
51,28,3,1,2,3274,0,0,529693,529693
52,28,3,1,25,63872,0.44683739862274585,0,580880,776783
53,28,3,1,4,1665,0,0,800178,580690
54,28,3,1,10,13611,0,0,192041,579673
55,28,3,1,1,9191,0,0,817923,817923
56,28,3,1,21,33368,0.22744923745994222,0,785752,800711
57,28,3,1,12,5484,0,0,752353,752353
58,28,3,1,22,112123,2.9080244244685476,0,570492,789292
59,28,3,1,7,7138,0,0,799783,799783
60,28,3,1,23,126452,0.21635313840379133,0,786416,538990
61,28,3,1,20,22886,0,0,817632,817632
62,28,3,1,3,35313,0.23241954707985535,0,799796,195554
63,28,3,1,6,7933,0,0,767853,818471
64,28,3,1,5,3389,0.035265828825730594,0,583459,791698
65,28,3,1,15,14368,0.6384746562517467,0,786978,785434
66,28,3,1,13,29976,0.38140643623361115,1,767136,564237
67,28,3,1,16,3152,0,1,545553,768236
68,28,3,1,8,21708,-1.6746126340882004,0,800700,817923
69,28,3,1,11,4828,0,1,545553,191818
70,28,3,1,19,18785,0,0,707834,791286
71,28,3,1,9,4502,0,0,200504,200504
72,28,3,1,24,20079,0,0,200223,200223
73,28,3,1,17,6370,-0.16,0,799783,787133
74,28,3,1,14,2933,0,1,571634,189832
75,28,3,1,18,35620,0,0,817923,817923
