Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,1,1,1,13,19052,0.166865316,0,767136,799420
2,1,1,1,5,8053,8.091598692,0,583459,786065
3,1,1,1,25,15908,2.217385308,0,580880,784608
4,1,1,1,24,20536,0,0,200223,200223
5,1,1,1,18,8996,-5.166865316,0,817923,784595
6,1,1,1,2,13822,0,0,773145,192873
7,1,1,1,21,27226,0,0,785752,785752
8,1,1,1,4,7630,0,0,197605,197605
9,1,1,1,3,16665,0.232419547,0,799796,195554
10,1,1,1,11,18715,1.52,0,545553,794927
11,1,1,1,17,10264,-0.12,0,703752,783915
12,1,1,1,12,7973,0,0,529693,567741
13,1,1,1,19,9961,0,0,791286,791286
14,1,1,1,20,14392,-1.664729177,0,817632,705793
15,1,1,1,14,4946,0,0,571634,571634
16,1,1,1,22,45657,1.910935865,0,570492,200551
17,1,1,1,23,26920,-1.510724671,0,786416,189875
18,1,1,1,7,4291,-0.3,0,199702,752401
19,1,1,1,9,8131,0,0,580597,580597
20,1,1,1,10,5021,-0.680329474,0,799664,852853
21,1,1,1,1,7083,1.5,0,817923,192622
22,1,1,1,8,7846,-1.775923719,0,800700,201087
23,1,1,1,16,11258,0,0,784093,784093
24,1,1,1,15,17972,0,0,786978,768236
25,1,1,1,6,6475,0,0,798900,798112
26,1,2,2,25,7416,0.436873943,0,580880,564237
27,1,2,2,23,3126,-0.781869644,0,786416,705465
28,1,2,2,11,9757,1.52,0,545553,790129
29,1,2,2,8,6376,-2.926102503,0,800700,799410
30,1,2,2,18,12595,0,0,817923,817923
31,1,2,2,14,6656,0,0,201105,201105
32,1,2,2,12,8785,0,0,752353,752353
33,1,2,2,22,10357,0.766034441,0,570492,197899
34,1,2,2,7,7140,-0.16,0,201105,538990
35,1,2,2,4,5517,0,0,767503,767503
36,1,2,2,5,5874,0.999823432,0,583459,203050
37,1,2,2,2,7931,0,0,572024,192873
38,1,2,2,15,12259,0.80655339,0,786978,539999
39,1,2,2,10,5258,-0.071662817,0,792429,752401
40,1,2,2,9,4483,0,0,819475,819475
41,1,2,2,24,19257,0,0,200223,200223
42,1,2,2,13,8653,0.399284863,0,767136,539336
43,1,2,2,1,7059,0.5,0,817923,581232
44,1,2,2,3,4897,0.357568534,0,799796,797697
45,1,2,2,6,5077,0,0,793584,193144
46,1,2,2,16,9042,0,0,545553,545553
47,1,2,2,20,9429,-1.664729177,0,817632,786065
48,1,2,2,17,3923,-0.52,0,199702,545150
49,1,2,2,21,18114,0.973724747,0,785752,846493
50,1,2,2,19,14452,0,0,707834,845632
51,1,3,3,12,15331,0,0,567741,581232
52,1,3,3,11,10334,1.52,0,545553,785481
53,1,3,3,18,14865,-0.619785459,0,817923,707981
54,1,3,3,2,4644,0,0,752353,539685
55,1,3,3,13,6820,0.911799762,0,767136,192873
56,1,3,3,23,3080,0.081048868,0,786416,767759
57,1,3,3,14,6529,0.32,0,564237,852853
58,1,3,3,15,13308,0.80655339,0,768236,539999
59,1,3,3,21,10661,-1.059000794,0,785752,197864
60,1,3,3,7,3759,-0.9,0,199958,706858
61,1,3,3,1,4164,0.5,0,817923,581232
62,1,3,3,24,13409,-0.383492253,0,200223,192622
63,1,3,3,6,3218,-0.25,0,539679,799410
64,1,3,3,8,18610,-1.656734207,0,800700,817632
65,1,3,3,16,8043,0,0,784093,784093
66,1,3,3,3,7102,0.715137068,0,799796,189763
67,1,3,3,19,5609,-1.29,0,707834,583459
68,1,3,3,22,2566,0,0,570492,570492
70,1,3,3,9,4813,0,0,777079,197864
71,1,3,3,10,3645,0,0,579673,579673
72,1,3,3,5,3849,1.936529707,0,583459,190597
73,1,3,3,17,4877,-0.82,0,799783,799410
74,1,3,3,20,4914,-1.664729177,0,817632,705793
75,1,3,3,4,2527,10,0,814745,768236
76,1,3,3,25,31306,0.078067427,0,580880,703752
