Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,38,1,1,18,28457,0,0,817923,817923
2,38,1,1,23,39217,0.18098161558880008,0,786416,799410
3,38,1,1,13,30946,0,0,767136,767136
4,38,1,1,1,21348,0.5,0,817923,581232
5,38,1,1,14,17133,0,0,571634,564237
6,38,1,1,10,5104,0,0,784608,773538
7,38,1,1,22,50981,0,0,570492,570492
8,38,1,1,2,3098,0,0,203089,568122
9,38,1,1,4,2284,0,0,545553,535895
10,38,1,1,7,20862,0,0,199958,846493
11,38,1,1,15,24630,0,0,786978,786978
12,38,1,1,20,11972,0,0,817632,817632
13,38,1,1,11,13328,0,0,545553,545553
14,38,1,1,21,50520,-0.020474456979086852,0,785752,789292
15,38,1,1,3,35964,0.4052443384982123,0,799796,798860
16,38,1,1,19,7647,0,0,800711,791286
17,38,1,1,17,15366,0,0,579048,797697
18,38,1,1,12,3286,0,0,203089,752353
19,38,1,1,5,39560,0.031522504679101004,0,583459,570492
20,38,1,1,24,17528,0,0,200223,200223
21,38,1,1,16,10699,0,0,784093,545553
22,38,1,1,8,36592,-1.7759237187127532,0,800700,201087
23,38,1,1,6,2237,0,0,545150,579585
24,38,1,1,9,3294,0,0,202575,845632
25,38,1,1,25,24892,0.44683739862274585,0,580880,776783
26,38,2,2,18,7762,-0.47675804529201393,0,817923,774978
27,38,2,2,11,3188,1.5199999999999996,0,545553,794927
28,38,2,2,21,15817,-0.27528017593875165,0,785752,783405
29,38,2,2,13,2416,0.31585220500596023,0,767136,799664
30,38,2,2,6,1458,0,0,572024,199958
31,38,2,2,17,6682,-0.08,0,703752,776783
32,38,2,2,12,2061,0,0,529693,529693
33,38,2,2,20,12464,0,0,817632,817632
34,38,2,2,16,6844,0,0,545553,545553
35,38,2,2,23,5766,0.08104886769964245,0,786416,767759
36,38,2,2,10,4120,-0.07166281703490723,0,579673,752401
37,38,2,2,25,12830,0.21407001584819696,0,580880,850557
38,38,2,2,9,1797,-0.7,0,201125,795479
39,38,2,2,19,5702,0,0,707834,845632
40,38,2,2,24,9943,0.6582240762812873,0,200223,200551
41,38,2,2,2,3235,0,0,568122,568122
42,38,2,2,7,1531,-0.1,0,200700,536366
43,38,2,2,22,8439,0.9880121890125494,0,570492,775249
44,38,2,2,5,8088,0.5478961744663486,0,583459,817865
45,38,2,2,8,10272,-2.634088200238379,0,800700,538990
46,38,2,2,14,7373,0,0,571634,571634
47,38,2,2,15,9100,0.785583039006303,0,768236,189872
48,38,2,2,4,1051,0,0,568122,190753
49,38,2,2,3,6404,0.6734207389749702,0,799796,188056
50,38,2,2,1,12584,0.5,0,817923,581232
51,38,3,3,18,9182,-0.6197854588796181,0,817923,707981
52,38,3,3,4,1766,0,0,798860,776987
53,38,3,3,21,21935,0.028605482717521013,0,785752,706338
54,38,3,3,14,1369,0.6500000000000004,0,200700,852890
55,38,3,3,25,5682,0.10183645948731801,0,580880,797697
56,38,3,3,13,4191,0.6495828367103691,0,767136,567550
57,38,3,3,19,4539,0,0,791286,800711
58,38,3,3,22,12002,1.315487156247632,0,570492,189832
59,38,3,3,12,2639,0,0,581232,581232
60,38,3,3,8,9024,0,0,800700,800700
61,38,3,3,6,1683,-1.25,0,791698,817632
62,38,3,3,10,5393,0,0,767136,817632
63,38,3,3,7,1473,-0.14,0,199702,537330
64,38,3,3,5,2817,0.9839131236700176,0,583459,529693
65,38,3,3,2,1611,0,0,572024,581232
66,38,3,3,3,3295,0.5005959475566151,0,799796,799783
67,38,3,3,24,20153,0,0,200223,200223
68,38,3,3,9,1707,0,0,799410,202856
69,38,3,3,15,5733,0.8065533895543915,0,768236,539999
70,38,3,3,16,2381,0,0,545553,545553
71,38,3,3,11,4124,0,0,545553,545553
72,38,3,3,17,5470,-0.1,0,797697,536366
73,38,3,3,23,7185,0.18098161558880008,0,786416,799410
74,38,3,3,1,5988,0.7750000000000004,0,817923,539336
75,38,3,3,20,5179,-0.9750524101006728,0,817632,535287
