Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,18,1,3,3,1868,0.7091775923718711,0,799796,783405
2,18,1,3,9,4342,-0.02,0,783405,790137
3,18,1,3,18,7353,-0.8700834326579261,0,817923,579924
4,18,1,3,8,6825,-4.01072705601907,0,800700,752401
5,18,1,3,4,1700,0,0,817245,799420
6,18,1,3,14,3022,0.6500000000000004,0,200700,852890
7,18,1,3,7,2156,-0.3,0,544470,189872
8,18,1,3,11,4041,1.5199999999999996,0,545553,794927
9,18,1,3,16,4076,0,0,784093,545553
10,18,1,3,12,4721,0,0,752353,203089
11,18,1,3,23,4311,-3.1108864423438782,0,786416,571634
12,18,1,3,6,2290,0,0,814745,539679
13,18,1,3,5,1808,0.9998234324522528,0,583459,197864
14,18,1,3,21,11876,0.07252407544333046,0,785752,200601
15,18,1,3,24,7208,0.616786299144918,0,200223,197864
16,18,1,3,10,6503,0,0,579673,579673
17,18,1,3,22,19626,0.8712580303746229,0,570492,577674
18,18,1,3,19,3005,-1.29,0,845632,583459
19,18,1,3,15,4279,0.8065533895543915,0,768236,539999
20,18,1,3,2,2686,0,0,800802,800802
21,18,1,3,1,5026,0.5,0,817923,581232
22,18,1,3,25,4462,0.788176193533863,0,580880,578426
23,18,1,3,17,1443,-0.08,0,579048,581571
24,18,1,3,13,2719,0,0,767136,767136
25,18,1,3,20,2620,-1.664729176963112,0,817632,786065
26,18,2,2,21,4096,-0.27528017593875165,0,785752,783405
27,18,2,2,16,6348,0,0,784093,545553
28,18,2,2,9,1944,0,0,580597,783915
29,18,2,2,14,6342,0.019999999999999574,0,200700,199958
30,18,2,2,25,7264,0.21407001584819696,0,580880,850557
31,18,2,2,10,3914,-0.9015798169417079,0,792429,579924
32,18,2,2,22,24176,1.0184378137469214,0,570492,798112
33,18,2,2,19,3462,-1.29,0,845632,583459
34,18,2,2,3,13050,0.41716328963051197,0,799796,799420
35,18,2,2,24,11813,0.6582240762812873,0,200223,200551
36,18,2,2,15,3176,0.6384746562517467,0,786978,785434
37,18,2,2,13,7903,0.6495828367103691,0,767136,567550
38,18,2,2,8,4350,-2.3837902264600714,0,800700,202575
39,18,2,2,17,1704,-0.08,0,772665,581571
40,18,2,2,2,4874,0,0,572024,581232
41,18,2,2,6,1574,-1,0,798112,200700
42,18,2,2,11,3643,0,0,545553,545553
43,18,2,2,23,5493,0.18098161558880008,0,786416,799410
44,18,2,2,18,5635,-0.9415971394517282,0,817923,563384
45,18,2,2,5,7132,0.5403805503217214,0,583459,581050
46,18,2,2,12,3252,0,0,581232,581232
47,18,2,2,20,3103,-1.664729176963112,0,817632,786065
48,18,2,2,4,2817,0,0,767136,199702
49,18,2,2,7,1473,0,0,201105,199702
50,18,2,2,1,2259,0.5,0,817923,581232
51,18,3,1,10,2651,0,0,784608,792429
52,18,3,1,16,7906,0,0,545553,545553
53,18,3,1,13,6282,0.15494636471990475,0,767136,798860
54,18,3,1,21,20223,-1.7591108462455307,0,785752,792046
55,18,3,1,4,2221,0,0,776783,537330
56,18,3,1,9,1932,0,0,767759,544863
57,18,3,1,8,9462,-1.6746126340882004,0,800700,817923
58,18,3,1,14,3624,0,1,201105,799664
59,18,3,1,17,1748,-0.94,1,772665,776987
60,18,3,1,5,3794,0.5403805503217214,0,583459,581050
61,18,3,1,23,16425,0.18098161558880008,0,786416,799410
62,18,3,1,25,21175,0.8518452224919404,0,580880,190597
63,18,3,1,7,3485,-0.02,0,544470,791286
64,18,3,1,22,15215,0.8820023837902266,0,570492,570924
65,18,3,1,19,6839,-10,1,791286,193144
66,18,3,1,6,1703,0,0,188056,768867
67,18,3,1,1,24587,0.5,0,817923,581232
68,18,3,1,12,8861,9.9,0,567741,536366
69,18,3,1,20,8070,-0.9750524101006728,0,817632,535287
70,18,3,1,11,9395,0,0,545553,545553
71,18,3,1,18,16962,-0.4707985697258641,0,817923,767853
72,18,3,1,15,2268,0,0,768236,768236
73,18,3,1,3,7667,0.5661501787842678,0,799796,799664
74,18,3,1,2,3690,0,0,572024,572024
75,18,3,1,24,14910,0,0,200223,200223
