Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,26,1,1,10,10173,0,0,784608,784608
2,26,1,1,18,68771,0,0,817923,817923
3,26,1,1,16,36714,0,0,545553,545553
4,26,1,1,15,45007,0,0,768236,786978
5,26,1,1,12,28513,0,0,529693,567741
6,26,1,1,7,9242,0,0,544470,200700
7,26,1,1,14,13327,0,0,571634,564237
8,26,1,1,2,3712,0,0,529693,192873
9,26,1,1,8,14175,0,0,800700,800700
10,26,1,1,22,100919,0,0,570492,570492
11,26,1,1,3,26632,0.23241954707985535,0,799796,195554
12,26,1,1,24,17896,0,0,200223,200223
13,26,1,1,5,22056,0.035265828825730594,0,583459,791698
14,26,1,1,20,16297,0,0,817632,817632
15,26,1,1,19,5224,0,0,800711,845632
16,26,1,1,21,13561,0.028605482717521013,0,785752,706338
17,26,1,1,1,10297,0,0,817923,817923
18,26,1,1,4,6840,0,0,199702,199702
19,26,1,1,13,44848,0,0,767136,767136
20,26,1,1,9,5857,0,0,544863,791286
21,26,1,1,11,21128,1.5199999999999996,0,545553,785481
22,26,1,1,23,35999,0.08104886769964245,0,786416,767759
23,26,1,1,25,13729,0,0,580880,580880
24,26,1,1,17,73112,0,0,772665,797697
25,26,1,1,6,15737,0,0,777079,798860
26,26,2,2,16,10091,-3.375,0,545553,706338
27,26,2,2,11,5122,0,0,545553,545553
28,26,2,2,4,2762,0,0,201105,775249
29,26,2,2,10,38166,-8.801997860156694,0,784608,199702
30,26,2,2,23,4833,-0.9873171589807482,0,786416,544863
31,26,2,2,6,19426,0,0,579103,189872
32,26,2,2,13,10586,0.4529201430274128,0,767136,798112
33,26,2,2,3,10404,0.7151370679380218,0,799796,189763
34,26,2,2,25,5262,0.21407001584819696,0,580880,850557
35,26,2,2,18,27593,-0.47675804529201393,0,817923,774978
36,26,2,2,5,7302,0.3368335206296056,0,583459,203857
37,26,2,2,19,17093,-1.29,0,707834,583459
38,26,2,2,24,97306,0,0,200223,200223
39,26,2,2,12,8946,0,0,567741,567741
40,26,2,2,14,8841,0.3200000000000003,0,564237,852853
41,26,2,2,2,9343,0.6399999999999988,0,798505,784702
42,26,2,2,17,4313,-10,0,703752,567741
43,26,2,2,15,18471,8.30936937746338,0,786978,535287
44,26,2,2,22,40113,0.35817508424354577,0,570492,202738
45,26,2,2,20,14567,-0.9750524101006728,0,817632,535287
46,26,2,2,7,3018,-0.06,0,201105,193144
47,26,2,2,8,32195,-3.3253873659118,0,800700,786416
48,26,2,2,9,9686,0,0,200939,200939
49,26,2,2,21,16468,0.0787900281527751,0,785752,799796
50,26,2,2,1,9715,8.75,0,817923,817632
51,26,3,3,13,4009,0.6078665077473175,0,767136,812161
52,26,3,3,15,19384,0.785583039006303,0,768236,189872
53,26,3,3,21,39585,0.22744923745994222,0,785752,800711
54,26,3,3,3,10824,1.2812872467222878,0,799796,705294
55,26,3,3,22,9177,0.7660344406201848,0,570492,197899
56,26,3,3,10,18976,-1.5931445239084026,0,817632,791286
57,26,3,3,20,10760,-0.9750524101006728,0,817632,535287
58,26,3,3,4,3751,0.6099999999999994,0,800700,798526
59,26,3,3,25,5439,-0.09428849087604405,0,580880,539999
60,26,3,3,18,13313,-0.4588796185935635,0,817923,579585
61,26,3,3,5,4440,1.2463421744896337,0,583459,539336
62,26,3,3,12,4775,0,0,752353,581232
63,26,3,3,8,5014,0,0,800700,800700
64,26,3,3,16,8018,0,0,784093,545553
65,26,3,3,9,4094,0,0,793584,793584
66,26,3,3,7,2177,-0.96,0,200700,191818
67,26,3,3,19,4543,0,0,845632,845632
68,26,3,3,24,6079,0,0,200223,200223
69,26,3,3,1,5371,0,0,817923,817923
70,26,3,3,23,17770,-0.7818696435503096,0,786416,705465
71,26,3,3,6,2919,0,0,767759,768867
72,26,3,3,17,5520,-0.48,0,703752,578426
73,26,3,3,11,6231,1.5199999999999996,0,545553,785481
74,26,3,3,2,2931,0,0,800802,800802
75,26,3,3,14,4323,0,0,571634,564237
