Id,Participant,Block,Condition,Task,Time,Accuracy,Error,Target,SelectedItem
1,33,1,2,21,14704,-1.8704083906497704,0,785752,201105
2,33,1,2,18,12068,-0.47675804529201393,0,817923,774978
3,33,1,2,22,18107,0,0,570492,570492
4,33,1,2,4,1844,0,0,817245,192873
5,33,1,2,10,3137,0,0,579673,767136
6,33,1,2,8,14859,-2.1156138259833135,0,800700,707834
7,33,1,2,9,2167,0,0,191034,752401
8,33,1,2,5,5842,0.2723453089514152,0,583459,847668
9,33,1,2,25,10881,0.12687677854663057,0,580880,578681
10,33,1,2,1,13303,0.7750000000000004,0,817923,539336
11,33,1,2,13,9389,0,0,767136,767136
12,33,1,2,7,2466,0,0,703752,817632
13,33,1,2,20,3461,-1.664729176963112,0,817632,705793
14,33,1,2,16,3785,0,0,545553,784093
15,33,1,2,19,1471,0,0,707834,800711
16,33,1,2,23,2083,-0.7818696435503096,0,786416,705465
17,33,1,2,11,6453,0,0,545553,545553
18,33,1,2,2,1682,0,0,567741,773145
19,33,1,2,14,2354,0,0,571634,200700
20,33,1,2,15,4960,0,0,786978,786978
21,33,1,2,3,4298,0.25029797377830754,0,799796,767136
22,33,1,2,17,2376,-0.52,0,799783,785377
23,33,1,2,12,1346,0,0,567741,203089
24,33,1,2,24,29776,-1.2287127542680856,0,200223,569795
25,33,1,2,6,1927,-0.25,0,793584,799410
26,33,2,1,7,6345,-0.12,0,539336,800784
27,33,2,1,25,7578,-0.7033455019317103,0,580880,188056
28,33,2,1,13,17723,0.15494636471990475,0,767136,798860
29,33,2,1,22,16628,0.8820023837902266,0,570492,570924
30,33,2,1,24,18607,0,0,200223,200223
31,33,2,1,20,14691,-0.9750524101006728,0,817632,535287
32,33,2,1,6,1299,0,0,798112,544863
33,33,2,1,14,4128,0,0,571634,571634
34,33,2,1,1,4123,0,0,817923,817923
35,33,2,1,10,8303,-9.284421787564053,0,767136,768236
36,33,2,1,9,1812,0,0,784093,784093
37,33,2,1,19,4270,0,0,845632,845632
38,33,2,1,5,8089,0.031522504679101004,0,583459,570924
39,33,2,1,18,23506,-0.4588796185935635,0,817923,579585
40,33,2,1,3,10518,0.4052443384982123,0,799796,798860
41,33,2,1,16,4812,0,0,545553,545553
42,33,2,1,15,9632,0,0,786978,786978
43,33,2,1,17,3220,0,0,797697,797697
44,33,2,1,4,1739,0,0,191818,580500
45,33,2,1,21,24735,-0.004767580452920228,0,785752,792140
46,33,2,1,12,3160,0,0,752353,203089
47,33,2,1,8,14583,-1.865315852205006,0,800700,196665
48,33,2,1,2,2009,0,0,192873,192873
49,33,2,1,11,5930,0,0,545553,545553
50,33,2,1,23,17116,-0.9873171589807482,0,786416,544863
51,33,3,3,2,2530,0,0,203089,540354
52,33,3,3,6,1577,0,0,572024,817245
53,33,3,3,10,1703,0,0,767136,799664
54,33,3,3,21,9220,-0.27528017593875165,0,785752,783405
55,33,3,3,4,1474,0,0,817865,785377
56,33,3,3,15,3125,0,0,768236,786978
57,33,3,3,13,3768,0.16686531585220443,0,767136,799420
58,33,3,3,17,2338,-0.16,0,799783,538990
59,33,3,3,5,6030,0.7365764612543817,0,583459,784702
60,33,3,3,11,2957,0,0,545553,545553
61,33,3,3,16,1656,0,0,784093,545553
62,33,3,3,9,1336,0,0,196665,192622
63,33,3,3,18,15182,-2.038140643623361,0,817923,767503
64,33,3,3,19,1616,0,0,707834,845632
65,33,3,3,22,6150,0,0,570492,570492
66,33,3,3,1,9592,0.5,0,817923,581232
67,33,3,3,23,4458,-1.0925295684413832,0,786416,768236
68,33,3,3,12,1675,0,0,567741,581232
69,33,3,3,24,28357,1.74425948150487,0,200223,192644
70,33,3,3,8,3465,-1.6567342073897497,0,800700,817632
71,33,3,3,25,1959,-1.0471523123748387,0,580880,579988
72,33,3,3,14,1439,0,0,200700,200700
73,33,3,3,7,2114,0,0,199958,772665
74,33,3,3,3,6162,0.4052443384982123,0,799796,798860
75,33,3,3,20,7344,-0.9750524101006728,0,817632,535287
